id,eng,afr,xho,ssw,nbl,tsn,nso,ven,tso,sot,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info
dsac_multilingual_engineering_and_construction_terminology_302,radon system,radonstelsel,indlela yongenisomoya yeradoni / inkqubo yokhuphomoya yeradoni / isiphefumlisimgangatho,luhlelo lwekuphefumulisa sakhiwo,ihlelo lesomisibuswe / irherho lesomisibuswe,matlhamaganyane a khemisi,tshepetšomoya,sisṱeme ya mvulelamufhe,sisiteme ya rheyidoni,,,ventilation system,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_303,rafter,dakspar / kapspar,iplanga lophahla / irafta,likabha leluphahla lolwehlako,ikapa elehlelako,tlhomeso,kapa,basha / kapa,kapa,,,roof,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_304,raft foundation,vlotfondament / vlotfondasie,isilebhu esomelezwe ngeentsimbi,silebhe sakhonkholo lesindlaliwe,ikhonkhridisisekelo endlalekileko,motheotlhomeso,motheotiišetšo / motheokgwahlišetšo,mutheotetete,masungulavurhancu,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_305,rebate,sponning,iplanga elisikelwe ukuhlanganisa ijoyinti,sisele sekukhaceka,umsarhohlanganisa / umsarhophungula,moseto,mosetokopantšhi,musendokhavhiso,nkovotlo,,,woodwork,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_306,reinforced concrete,gewapende beton,ikhonkrithi eyomeleziweyo,khonkholo lokhonkhwe ngetinsimbi,ikhonkhridi eqiniswe ngeensimbi,konkoreitethatafatswa,khonkhorititšhipikgwahlišwa,khonkhirithikhwaṱhisedza,khonkhele-ntiyisiswa-hi-tinsimbi / khonkhireti-ntiyisiswa-hi-tinsimbi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_307,retarder / restrainer,vertraagmiddel / vertrager / vertragingsmiddel,isilibazisikuqina kwesamente,sivilaphisikusebenta / silibatisikusebenta / sidzambisikusebenta,isiriyadisi,sediegisi,sediegiši / seditediši,tshiongolosi,xinonokisi / xihlwerisi / rhithada,,,cement,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_308,reveal,dagwang,umqukumbelo womgubasi / irivili,tinhlangotsi teminyango nemafasitelo,isivalisikhala somnyango nefesidere / iraviri,sekhutlopota,rebili,riviḽi,rhivhili,,,architecture,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_309,revolving door,draaideur,umnyango ojikelezayo,umnyangojikeleta,umnyango ojikelezako / umnyango ozombelezako,ledikologa,lebatintikodiko / lebatidikologa,vothitshimonemone,rivantindzhendzeleko,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_310,ridge,nok,umqolo wophahla,umngcengcema / umgogodla,umqoqo / iriji,mokokotlo / mokwatla,mpopotlo / mokokotlo,muṱoḓo,nhlohlorhi,,,roof,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_311,ridge tile,nokpan / vorspan,ithayili yomqolo wophahla,lithayilimngcengcema / lithayilimgogodla,ithayili lomqoqo / ithayili leriji,thaele ya mokokotlo / thaele ya mokwatla,thaelekokotlo / thaelepopotlo,thaiḽi ya muṱoḓo,thayilinhlohlorhi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_312,riprap,klipstorting / stortklip,udonga lothintelokhukuliseko,ludvongamatje lwekuvimbela emanti,umthangala wamatje,leribatlapa / lositlapa,leribaboto / leribaswilka,mutsheṱothilamukumbululo,maribyensivelankhukhulo,,,e.g. wall,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_313,riser,stygstuk / optree / klimmer,ubuso besitepusi,kuphakama kwetitepisi,ukuphakama kwesitepisi,bogodimokgato,disetepisi / bophagamo,tshikhukhulo,xikhupulo,,,staircase,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_314,rough arch,ruboog,iatshi yezitena ezingasikwanga,i-ashi lemahhadlahhadla,i-atjhi emakghwakghwa,seobogwata / seobokgwakgwa,sekaborakgwakgwa,tshiaramo tsha zwimeno,akaximeno,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_315,rustication,rustiekwerk / rustiekmaking,umhombisodonga ongagudiswanga,umhlobisomatje lomahhadlahhadla,umhlobisomatje omakghwakghwa,kgwakgwafatso / kgwatafatso,kgwakgwafatšo,mukhavhiso wa rasithikhesheni,nkhwaxahato,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_316,saddle-back roof,saaldak / geweldak,uphahla olubusali,luphahla lolusisihlalohhashi / luphahla lwemagebuli,umfulelo wamagebula,thulelosesale,thulelosesale / tlhakasesale,ṱhangararekanelamurahu,lwangumphyeleko,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_317,sanitary engineering,sanitêre ingenieurswese,ubunjineli bezogutyulo,bunjiniyela betekuhlanteka kwemanti,ubunjiniyere bezokuhlwengisa ngamanzi,boenjenere jwa kgeleloleswe,boentšenerekelelatšhila,vhuinzhiniara ha zwa vhutatatshili,vunjhiniyara bya swa nkululo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_318,sanitary sewer,sanitêre riool,imibhobho yogutyulo,tekutfutsa indle / tekuhambisa indle,irherho lokukhambisa ikhucukhucu / ihlelo lokukhambisa ikhucukhucu,matlhamaganyane a kgeleloleswe,tshepetšotšhila / kelelatšhila,tshamphungane tsha vhutatatshili,phayiphi ya nkululo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_319,sash window / cased window,skuifraamvenster / skuifvenster,ifestile enyuswa ithotywe,lifasitelo lelivula bushelelaphasi nasetulu,ifesidere elisunduzeleka phezulu,theletsane,lefaseteretheledi / lefaseterereledi,seshe ya fasiṱere,fasiterexirheti,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_320,scaffold,steier,isikafula / isikefele,sikefula,isikhafula,sekefole,sekhafola,tshikhafula,xikhafula,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_321,scarf joint / scarph joint,liplas / skuinsliplas / lipvoeg,udibaniso oluskafu,kukhacekisa / kuhlanganisa / kuchumanisa,ukuhlanganisa ngamahlangothi,tomaganoloto,momagantšho / kopantšho,vhuṱanganyi ha tshikhafu,mahlanganiselo ya mapulangi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_322,screed,gidspleister,istretheji / iskridi,siyili / skridi,isilinganisileveli,thitelo,selekanyetšaboalo,tshikiridi,xiringaniso / xikiridi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_323,scupper / scupper hole,spuitgat / skuiwergat / spuigat,intunja yokukhupha amanzi,imbobo yekukhipha emanti / sikhala sekukhipha emanti,intunja yokukhupha amanzi,phatlha ya mosele,setšhollameetse / sefalatšameetse,nzanyo,ponci,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_324,scuttle,luikgat / luik / valdeur,isikatile,sikhala sekulunguta / sikhala sekungena,isangwana lomfulelo / isangwana lefluru,kgorwana,lešobaphihlelelo,tshivhana,xinyangwanamfikelelo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_325,seal coat,deklaag / seëllaag,isitywini,sivalitimfa,isilikhowudi,seritedi,silikhoutu,luvhembanambatedza,ntintandzemo,,,roads,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_326,septic tank,septiese tenk,umngxuma wogutyulo / istamkoko,lithange lendle,itanka yothuvi / itanka yenyathi / itanka yokubolisela,bodutelaleswe,tankapodišetšo,thanngapfaramalaṱwa,thanginkululo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_327,sewer,riool,umbhobho wogutyulo,liphayiphi lendle,iphayiphu lekhucukhucu,moseleleswe,phaephekelelatšhila,phaiphi ya tshampungane,phayiphinkululo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_328,sewer stub / sewer connection,rioolaansluiting,uhlanganomibhobho yogutyulo,emahlanganweni emaphayiphi endle,ubuhlanganelo bamaphayiphu wekhucukhucu,bokopanelo jwa moseleleswe,bohlomesetšong bja phaephekelelatšhila,ṱhanganyoni ya tshamphungane,xitabu xa phayiphinkululo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_329,shear wall,afskuiwingsmuur,udonga olunokumelana neentshukumo zomhlaba,ludvonga lwakhonkholo lolucinisa sakhiwo,iboda eliqinisako / umthangala oqinisako,lerwalelatheong,lebotoserwalaboima,luvhondolutiki / luvhondothiko,khumbixikhonkhelentiyisiso / khumbixikhonkhiretintiyisiso,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_330,shed roof,afdak,uphahla olukekelele calanye,luphahla macitsanganhlanye / luphahla macitsandzawonye,umfulelo onguplada,thulelo ya mothulamelagongwe,tlhakatshekamo / thulelotshekamo,ṱhangatsendami,lwangumboyamon’we,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_331,sheer legs,katrolbok,isifunquli esinemilenze,sicukulitinsimbi / setfwalitinsimbi,isigugiinsimbi / isigugatjhi,matsholetsi,sekuki,tshigaguli,milengexitlakuleri,,,lifting device,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_332,shim,wig,iverhe,iweji / sinyekuli / sifukuli,itjhimu,sesetledi / wašara,wašara / šimo,lupalinyeḓanyisi,ximi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_333,shingle,dakspaan / dakplankie,ishingili / ithayili yomthi,lucetu lwelipulango lekufulela / ishingili,itjhingili,thaele ya legong,thaelekota,thaiḽi ya shingiḽi,xingili,,,walls and roofs,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_334,shutter,luik,ikhusi lefestile,sivalo selifasitelo / sivikelifasitelo,isivalo sefesidere,sekgosetsi,seširo / setswalelo,tshivalo,xatara,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_335,side sewer / lateral sewer,syriool,umbhobho wogutyulo othungelana nongundoqo / umbhobho wogutyulo othululela kokamasipala,liphayiphichakela lendle,iphayiphubuhlanganelo langendlini nelekhucukhucu,segokaganyamesele,kelelatšhila / phaephesekopantšhi,tshamphunganendivhaṱhanganyoni,phayiphisoreji ya yindlu,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_336,sill,drumpel,isili yefestile / isili yocango,siphelelelisilifasitelo / iwindosili,isili,setutswana / segato,sili,siḽi,sili,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_337,sill plate,drumpelplaat,ipleyiti yesili / isandlalelo sesili,isilipuledi,isilipleyidi,kapetlasetutswana / kapetlasegato,silipoleiti,tshifarasiḽi,silipuleti,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_338,sill seal,drumpelseël / drumpelseëlaar,isincamathelisisili / isitywinisili / ipati,sinamatselisi sesili,isinamathiseli sesili,sekabasetutswana / sekabasegato,sethibakgoba / setswalelakgala,tshifhandasiḽi,xilemasili,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_339,siphonage,heweling / hewelwerking,ufunxomanzi ngoxinzelelomoya,kuhamba kwemanti langcolile lokufanele,ukukhamba ngefanelo kwamanzi,kgopô,phaephekelelo,vhuelelamaḓi,nchululo,,,plumbing,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_340,skewback / springer,boogstuiter / terugspringer,isisekeliatshi,sisekelilubondza lwe-ashi / sisimisilubondza lwe-ashi,umtjhigamelomva / ubutjhigamelomva,letshegetsi,kobegelanthago,luvhondomonatshiaramu,xitinamboyamelandzhaku,,,supporting wall,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_341,skylight / roof light,daklig / dakvenster,ifestile eseluphahleni,luphahla lolubonisa ngale / luphahla lolukhanyako,isingenisimkhanyo somfulelo,setsenyasedi,tlhakatsenyalesedi / thulelotsenyalesedi,phirisatshedza,xinghenisa-mbonakala-elwangwini,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_342,slag,slak,isilege,sivalitimfa,isilege,semamaretsi,sekgomaretši,tshiḽege,xilege,,,binder,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_343,sleeper,moerbalk,isisekelimgangatho esiliplanga,emapulango esisekelosiyilo,isisekelifluru samaplanka / isilipha,tshetlelaboalo,kotasethekgabolao,maalo,pulanginanekwakhonkheleni / pulanginanekwakhonkhiretini,,,flooring,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_344,sleeper wall,moerbalkmuur,udonga olusisisekelimgangatho,sisimisibondza semapulango,ibodasisekelifluru / ibodasisekeliphasi,lobota lwa tshetlelaboalo,lebotopheko,luvhondothikho,khumbixitlhenguso,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_345,sliding door,skuifdeur,ucango olutshibiliziswayo / ucango olusilayidayo,sivalo lesisundvutekela eceleni / sivalo lesishelelekela eceleni,umnyango osunduzeleka ngeqadi,lebatitheletsane,lebatitheledi / lebatireledi,vothitsuvhelela,rivantindzhetelo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_346,slurry,flodder,udaka lwesamente olumanzi,ludzaka lolumanti / ludzaka lolulula,idaka elilula / idaka elimdoko,takatsatsa,takamotsaro,lupwere,ridakambevuko,,,e.g. cement,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_347,soaker,drenker,isithintelimanzi,sivimbelimanti sangcwengcwe / sivimbelimncitsi selithayela,isivimbelimanzi,sethibelamonelo,sethibelatutlo,sokara,xisivelampfuto,,,metal sheet,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_348,soffit,soffiet / binnewelwing,umphantsi weatshi / umphantsi womphetho wophahla,isofithi,isofede / isofethi,botlase jwa mathudi / letlaseriba,sofithi,fhasi ha mvari / sofithi,sofiti,,,architecture,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_349,soil pipe / cesspipe,vuilpyp / rioolpyp,umbhobho welindle,liphayiphi lendle lelikhulu,iphayiphu lekhucukhucu elingaphasi,moseleleswe / peipileswe,phaephetšhila,phaiphinyendamavuni,phayiphinkululo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_350,soldier / soldier beam,staanbalk,isilungelelanisisomelezi kulwakhiwo,sitini lesimile / sitini lesime sabusotja,isoldatha,lerapatlhamalatsi,setiiši,tshidinadzi,socha,,,to strengthen or align,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_351,sole plate,voetbalk,isandlalelo sodonga,lipulangosisekeli / lipulangositintisi / silinganisi,iplankasinzinzisi,kapetlakalelo,solopoleiti,bulanngaḽiali,pulangindzingananiso,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_352,sonotube,sonotube,iforom yeekholom / iforom yeentsika,sakhelakuso / iforomu yensika,iforomo yamapilara,sebopelo sa dipilara,foromophilara,foromo ya phuphu,foromophuphu,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_353,spandrel,hoekvlak,isipandreli,sipandreli,isipandreli,sepanderele,sepanterele,tshipandrele,xipandirili,,,architecture,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_354,spine wall,draagmuur / dramuur,udonga olungumqolo / udonga lokwahlukanisa,lubondzamahlukanisa / lubondzamgogodla,umthangalamgogodlha,lebotalesikare,lebotomokokotlo / lebotompopotlo,luvhondomuṱoḓo,khumbilongo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_355,spiral stairway / spiral staircase,spiraaltrap,izitepusi ezijikojiko,sitepisi lesitongolotelako / sitepisi lesitungeletako / sitepisi lesimatombetombe,isitepisi esizombelezako,serepoditshope,bonamelomanyokenyoke / setepisimanyokenyoke,zwiṱepisimasongesonge,xitepisindzhendzeleko,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_356,splay,uitskuinsing,isipleyi,tinhlangotsi temnyango nemafasitelo letitjekile / sipleyi,isipleyi,sepolei,sepolei,tshipuḽei,vuandlalamboyamo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_357,splice,splitslas / spalklas,isidibanisi / isihlomelisi,sihlanganisitinsimbi lesisalipuledi,isihlanganisimakholomu,tomaganyatshipi,selogantšhaditšhipi / sehlomagantšhaditšhipi,tshiṱumanyi,xikhomanisatinsimbi,,,steelwork connection,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_358,springer / skewback,boogstuiter / terugspringer,isiqalo segophe leatshi,sisekeli-ashi / springa,ubuthomo be-atjhi,lethayaseobo,motheosekabora,maalo a tshiaramo / mutheo wa tshiaramo,xitinansungulaaka,,,arch,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_359,springing line,geboortelyn,umgcantsusa weatshi,sicondzisi-ashi,ubuthomobanzi be-atjhi,molatepo,mothalotheo / mothalogare,muelatshialamo,ntila-masungulweni ya aka,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_360,sprinkler system / sprinkelblusser,sprinkelblusstelsel,isicimimlilo esikwisilingi,sicishamlilo sesakhiwo / sicimimlilo sesakhiwo,isicimamlilo esizilawulako esisesilinghini,matlhamaganyane a dikgatshi,setimamollotšhašetšo,tshidzimamuliloḓilangi,xitimelandzilohaxo,,,fire extinguisher,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_361,squint brick,skewehoeksteen,isitena esisikwe ngokwe-engile / isitena esisikelwe ikona,sitinimakhoneni lesicijile,isitina esenza ihugu ebukhali nofana ebuthundu,setenaketlolwa,setenateano / setenakhutloteano,tshidinakhuḓa,xitinankotloto,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_362,stack vent,stampypontlugter / stampypluggat,umbhobho osisiphefumlisi,liphayiphisiphefumulisi,iphayiphusiphefumulisi,peipikhemisi,phaephesentšhamonkgo,phaiphipfemisi,phayiphimoyakhubu,,,ventilation,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_363,stairway / staircase,trap,amanqwanqwa / izitepusi,sitepisi,amastepisi,direpodi,bonamelelo / setepisi,zwiṱepisi,switepisi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_364,steelwork,staalwerk,isakhelo sentsimbi / ifreyimu yentsimbi,luhlaka lwensimbi,ifreyimu yeensimbi,letlhomeso la tshipi,foreimitšhipi,muhangatsimbi,rimbansimbi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_365,stile,styl,amacala omgubasi athe ngqo / amacala omgubasi athe nkqo,incenyana lemile yelifasitelo / incenyana lemile yemnyango,umqaqado wesibiyelo / umqaqado wefensi,setaele,tselatheledi / seporo,mbambo,phuphu ya rivanti / phuphu ya fasitere,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_366,storey / floor,verdieping / vloer,isakhiwo esingaphezu kwesinye,sitezi,isitezi,tlhatlaganyane,mohlophaganobato / monamelanobato,tshifhaṱotenga,muakontlhandluko,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_367,storm sewer / storm drain,stormwaterriool / vloedwaterriool,umjelo wamanzi emvula / umbhobho wamanzi emvula,umsele wemanti emvula,irherho lokukhambisa amanzi wezulu,moselemetsi,moselameetsefula,vhuendedzamukumbela,phayiphinkhukhulo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_368,strap,band / strop / bindband,isibophelelidonga emgangathweni / isimiliselidonga emgangathweni,sihlanganisitibondza / sihlanganisiluphahla,ihubhula,bantatshipi,sethekgi,tshiṱirepe,xitirepe,,,support,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_369,stretcher,streksteen / stryksteen,isitena esivela ngobude,luhlangotsi lwesitini,isitina esiveze ihlangothi,seleele,lehlakoreteleletena,tshidinabuḓa,rihlanguti ro leha ra xitina,,,brick,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_370,string course,bandlaag,umbhinqosihombiso wesakhiwo / ibhantisihombiso lesakhiwo,libhandesehlukanisi / libhandemhlobiso wendlu,ibhandemhlobiso lesakhiwo,boalobanta,lepantakgabišo,zwidinaṱoṱomowa,ntilaxitlhekutanakhumbi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_371,strip flooring,strookvloer,ulwenziwomgangatho ngokwemicu,emapulango esiyilo,ifluru yamaplanka amitletlana,bodilobanta,lebatomesetwana,luṱa lwa zwibulannga,fuloroswipulangana,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_372,structural engineering,struktuuringenieurswese,ubunjineli bezakhiwo,bunjiniyela betakhiwo,ubunjiniyere bezakhiwo,boenjenere jwa dipopegokago,boentšenerepopegokago,vhuinzhiniara ha zwa mbumbo,vunjhiniyara bya swa ntiyisisavumaki,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_373,structural glass,struktuurglas,iglasisihombiso sodonga,sakhiwomaglazi,irhalasimthangala,galase ya dikago,lebotogalase,luvondo lwa ngilasi,nghilazi yo aka,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_374,stucco,stukadoorskalk / stukadoorspleister / pleisterkalk,umtyabeko ohombisayo,ludzakamhlobiso lohucwako / stakho,umhlobiso ngokusinda / umhlobiso ngokutshidza,rafokhasete / mokgaphasetso,lekgwarakgabišo,khulungokhavhiso / tshitakho,mphamonkhaviso,,,plaster,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_375,stud / partition stud,skotstyl,isiqinisisahluli sendlu / isiqinisipatishini,simisi / insika,isijamisi,matshegotlhamalalo,sethekgi,tshitadi,phuphu,,,upright post,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_376,sump,sinkput,isikhongozelimanzi,sikhangetelimanti kubhesimenti,umgodi osikhongozelimanzi / isampu,botamelo / bodutelo,sekgoboketšameetse / sampo,dindikhuvhanganyi / sampu,sampu,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_377,surveying,landmeting,uhlolomhlaba / upopolomhlaba,kukala umhlaba,ukuhlola / ukupopola,tekanyofatshe,phatišišonaga,vhuṱolavhupo,mpopolo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_378,sway brace,windverspanning,isithintelikujijeka / isimisi nkqi,isweyibreyzi,itlempu / ibhreyizi,tshetleditsheka,seswaraleboto / setlemaleboto,tshitikibuḓa,xihlangalala,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_379,swing door,swaaideur,ucango oluvulekela macala,sivalomvembili,umnyango ovulelekela ngaphandle nangaphakathi / umnyango ojinkako,lephai / lebatiphai,lebatihwidinyega,vothimvulelahoṱhe,rivantiximujombe,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_380,tack weld,hegsweis,ukutshisela ngokweziqendu okusisibambiso,kushisela kwesikhashane / kuteka / kushiselasibambiso,ukuteka ngokutjhiselela,moteko,go teka / swaragantšha / weletela,u farisa / u ṱeka,vuthovherinkhomiso / vutsotsoserinkhomiso,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_381,tail beam / tail joist,kruppelbalk,umqadi omfutshane,likabha lelifishane,ibhimu efitjhani,lerapagatla,sethekginkonana / sethekgimponana,bimuphimi,bimincila,,,support,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_382,tandem roller,tandemroller,ugandaganda omavilimabini okugangatha,singcingci / ithandemurola,umagangadela,sekati / setampi,setamparathwetha,tshigigidedzi tsha thandemu / roḽara ya thandemu,xigandlambirhimuako,,,road,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_383,tenon,tap,umhlonyelwa kwimothisi,sihlanganisimapulango / ithenoni,isirhohlomeli / ithenoni,tomanyi,sehlomela,tshikolotedzi,xikotleti,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_384,thatch roof,grasdak / rietdak / strooidak,uphahla lwengca,luphahla lwetjani,umfulelo wotjani,thulelo - ka - bojang,thulelobjang / tlhakabjang,ṱhanga ya hatsi,lwangubyanyi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_385,theodolite,teodoliet,isixhobo sohlolomhlaba / isixhobo sopopolomhlaba,sipopolo / sihloli,isipopoli,thiodolaete,sekopolanaga,tshipopoli / thyodoḽaithi,thiyodolayiti,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_386,tie beam,bindbalk,umqadi wokuhlanganisa,sicondzisimakabha,ibhimisihlanganisi evundlileko,lerapagoka / bimigoka,seswarantšhadikapa,kapakhwali,biminkhomaniso,,,connection,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_387,tile,teël,ithayili,lithayili,ithayili,thaele,thaele,thaiḽi,thayili,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_388,tower crane,toringkraan / toringhyskraan,isilenge esiphakame kakhulu,ikhreyini lephakeme kakhulu,umagugani omkhulu / ikhreyini ekulu,setsholetsitlhoa / setsholetsitora,khereinitora,magagulenyedzamphogoli,khirenixihondzo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_389,transome / transom,kalf,isahlulifestile ephezulu kumgubasi,umshayo / incenye levundlile lehlanganisako,ifesidere elingehla komnyango / ithransomu,llentlelebating / teransomo,searogantšhi,kufasiṱeredzhoni / transom,xihambanisa-rivanti-na-fasitere,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_390,transportation engineering,vervoeringenieurswese,ubunjineli bezothutho,bunjiniyela betekutfutsa,ubunjiniyere bezokuthutha,boenjenere jwa dirori,boentšeneremananeotsela,vhuinzhiniara ha zwa vhuendedzi,vunjhiniyara bya swa vutleketli,,,,,,,,,,,,,,,,,,,,,
