id,eng,afr,xho,ssw,nbl,tsn,nso,ven,tso,sot,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info
dsac_multilingual_engineering_and_construction_terminology_254,mullion,tussenstyl,isahlulimacala efestile,sehlukanisimaglazi / imuliyoni,isihlukanisimarhalasi / imaliyoni,sekgaoganyagalase,searoganyagalase / maliene,lufhandafasiṱere,xiavanisatinghilazi,,,window,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_255,muntin,tussenstyl,isahluliziglasi zefestile / isixhasiziglasi zefestile,sisekelimaglazi / imanthini,isisekelimarhalasi / imanthini,setshegetsagalase,sethekgagalase / manthene,vhufhandafasiṱere,ximananghilazi,,,window,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_256,nano-engineering,nano-ingenieurswese,ubunjineli ngokweenano,bunjiniyela be-nano,ubunjiniyere nge-nano,boenjenere jwa nano,boentšenerenano,vhuinzhiniara ha zwa dzimbalo,vunjhiniyara bya swa nano,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_257,nanometre,nanometer,inanomitha,inanomitha,inanomitha,nanomitha,nanomethara / nanometara,nanomitha,nanomitara,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_258,nanotechnology,nanotegnologie,ubugcisa boveliso ngokweenano,bucwepheshe benano / ithekhinoloji yenano,itheknoloji nge-nano,thekenoloji ya nano,nanothekenolotši,thekhinolodzhi ya nano,nanothekinoloji,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_259,needle,steekbalk,umqadi wentsimbi wethutyana,sisekeli sesikhashana / siparago,isisekelimakhiwo,lerapatshipi,pimithekganakwana,bimuthungelwa,bimi ya nsimbi,,,steel beam,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_260,non-load bearing wall,nie-belasbare muur / nielasdraende muur,udonga olungenakumelana nomthwalo / udonga olungomelezelwanga umthwalo,lubondza lolungakasimisi indlu / lubondza lwangekhatsi,ibodasisekeli elingasiyisika / umthangalasisekeli ongasiyisika,losarwaleng,lebotoikema,luvhondozwalo,khumbinkandzhwalo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_261,oriel window,balkonerker,ifestile ephumele ngaphandle,lifasitelo leliphumele ngaphandle,ifesidere eliphumele ngaphandle,lerotogagodimo,lefaseterelekeleketšweledi,fasiṱeremurutshe,fasiterenhlohlomukaxitezini,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_262,outrigger,kraanbalk,umqadi ophokeleyo wokuzinzisa / umqadi okrobileyo wokuzinzisa,sisimisiluphahla lesiphumele ngaphandle,isisekeli esiphumele ngaphandle,leribelantle,sethekgatlhaka / sethekgathulelo,tshigagula nga nnḓa,nanekorikupakupa,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_263,padstone,draagsteen,isitena sokuzinzisa ubunzima / isitena sokulungelelanisa ubunzima,litje lekwesekela,ilitjemsamelo elisithwalibudisi,letshetledi,leswikapeeletši / letlapapeeletši,tombothikho,xitinananekelo,,,,,,,,,,,,,,,,,,,,,
