id,eng,afr,zul,xho,ssw,nbl,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info
dsac_natural_science_and_technology_term_list_nguni_languages_0,abdomen,abdomen,isisu / inxasisu,amanqe / amazants’esisu,sisu,isisu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1,absorb,absorbeer,-munca / -donsa / -habula,ukufunxa / ukutsala,munya,ginya / munya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_2,absorption,absorbering / absorpsie,ukumunca / ukudonsa / ukuhabula,ufunxo / utsalo,kumunya,ukuginya / ukumunya,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_3,acacia,akasia,umkhambathi / umunga,iintlobo zeminga,singa,i-akhatjhiya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_4,access,toegang,okuvumeleka / ukukwazi ukungena / ukugunyazwa / ukufinyelela,ukungena kwikhompyutha / okuvula ikhompyutha,imvume / kutfola indlela,ilungelo,noun,computers,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_5,access,toegang verkry,-vumeleka / -ngena / -finyelela / -gunyaza,ukungena / okuvula,vumeleka / ngena,fikelela,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_6,accumulate,ophoop / akkumuleer,-qongelela / -andisa,ukunyusa / ukukhulisa,congelela / butsela,buthelela / anda,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_7,accumulator,akkumulator / opgaarbattery,isigcinamlilo / ilahle likagesi,ibhetri / isigcini-mbane,sicongeleli / sibutseligezi,isimumathimlilo,,battery,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_8,accumulator,akkumulator,isigcinalwazi,isigcini-lwazi sekhompyutha,sicongeleli,isilulumbalo,,computer,,,,isiqoqelilwazi,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_9,accurate,akkuraat / noukeurig,-ngqo / -nembayo / -shayakhona,chanekile,-nembako,-nembako,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_10,acid,suur,uketshezi olushisayo / i-esidi,iasidi,mamunywane / i-esidi,isidlavuzi / i-esidi,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_11,acid rain,suurreën,imvula ene-esidi,imvula eneasidi,imvula lene-esidi,izulusidlavuzi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_12,acrylic paint,akrielverf,upende oxutshwa namanzi / upende osebenzisa amanzi,ipeyinti enesiseko esingamanzi engasukiyo,ipendi yemanti,ipende yamanzi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_13,acrylic resin,akrielhars,ingxube yokwenza upulastiki / ingxube yokwenza ucwazi / inhlama yokwenza ucwazi / inhlama yokwenza upulastiki,intlaka yokwenza iplastiki,i-akhrayiliki resini,ikghomu yokuzenzela,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_14,additive,bymiddel,isinongo,isinongi,sinongo,isinungo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_15,adhesive,kleefmiddel,inomfi,isincamathelisi,sinamatselisi,-namathiselako / inovu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_16,adventitious root / fibrous root / bushy root,bywortel,impandemxhantela,ingcambu ehlakahlaka,imphandzechakela,umrabhu otantelako / umrabhu orarelako,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_17,aeroplane,vliegtuig,ibhanoyi / indiza,inqwelomoya,indizamshini,isiphaphamtjhini / uflayi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_18,agent,agens,isiguquli / isididiyeli,isiguquli,siguculi / sintjintjabunjalo,isenzisi,,e.g. chemical,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_19,agricultural product,landbouproduk,umkhiqizo wezolimo,imveliso yolimo,umkhicito wetekulima,ivezo lezokulima,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_20,agriculture,landbou,ezolimo,ezolimo / ulimo,tekulima,umsebenzi wokulima,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_21,air,lug,umoya,umoya,umoya,ummoya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_22,air bubble / bubble,blasie / lugblasie,igwebu,iqamza,ligwebu,igwebu,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_23,air-conditioning,lugversorging,ukuhlehla komoya / ukulawulwa komoya,ulawulo-qondo lomoya,kuntjintja umoya,isithlodlhimmoya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_24,aircraft,lugvaartuig,indizamshini,inqwelomoya / inqwelontaka,incolamoya,isiphaphamtjhini / uflayi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_25,air current,lugstroom,umsinga womoya,umsinga-moya,umsinga wemoya,umsinga wommoya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_26,air-cushion,lugkussing,isikhwama somoya,umqamelo womoya,sibambamoya,isijamisi esisibambammoya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_27,air drill,druklugboor,ibhola / isibholi / idrili,isigqobhozi somoya / isembi somoya,libholamoya,ibhoro yommoya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_28,air flow,lugstroming,ukuheleza komoya / ukushweza komoya,ijelo lomoya / ukuhamba komoya,kuheleta kwemoya,ukukhamba kommoya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_29,air pollution,lugbesoedeling,ukungcola komoya / ukunukubezeka komoya,ungcoliseko lomoya,kungcola kwemoya / kunukubeteka kwemoya,ukusilaphazeka kommoya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_30,airport,lughawe,isikhumulo sezindiza / ishashalazi lendiza,isikhululo seenqwelomoya,inkhundla yetindiza / sikhumulo setindiza,idoyelo leenkhwelommoya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_31,air receiver,lughouer,isigubhu somoya,isamkeli-moya,silondvolotamoya,isimumathimmoya,,technology,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_32,air reservoir,lugreservoir,isigcinamoya,isigcini-moya,silulumoya,isibulungimmoya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_33,airtight,lugdig,-ngangenimoya,evingcela umoya,valeke-ngci,-ngavumeli mmoya,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_34,albatross,albatros,i-albhathrosi,ingabangaba,i-albhathrosi,i-albatrosi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_35,alcohol,alkohol,uketshezi oludakisayo / isidakisi,isinxilisi,i-alkhoholi,isiwumeli / i-alkhoholi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_36,alcoholic drink,alkoholiese drank,isiphuzo esidakisayo / utshwala,isiselo esinxilisayo / utywala,sinatfo lesine-alkhoholi / tjwala,utjwala / isiselo esiwunyelweko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_37,alkali,alkali,i-alikhali,isithomalalisi bumuncu,i-alkhalayi,iintjhuqisi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_38,alkaline,alkalies,-njenge alikhali,ethomalalisa ubumuncu,-ne-alkhalayi,-tjhuqisako,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_39,alligator,alligator / kaaiman,ingwenya yaseMelika naseShayina / i-aligetha,uhlobo lwengwenya olufumaneka eMelika,i-aligetha,umhlobo othileko wegulukudela / umhlobo othileko wengwenya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_40,alloy,allooi / legering,inhlanganisela yezinsimbi,umxube weentsimbi,insimbinhlanganisela / i-aloyi,i-aloyi / isimbimvango,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_41,aloe,aalwyn,inhlaba,ikhala / umhlaba,inhlaba,isikghopha,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_42,aloe flower,aalwynblom,uvovo / imbali yenhlaba,imvomvo / intyatyambo yekhala,vovovo / imbali yenhlaba,ithuthumbo lesikghopha,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_43,alternating current,wisselstroom,ukuphambana kwamandla kagesi,umsinga wombane oqakathayo,umsinga lontjintjako,itlelezo elidlheganako,,electricity,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_44,altitude,hoogte,ukuphakama,umphakamo / ukuphakama,kuphakama,iphakamolwandle,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_45,aluminium / Al,aluminium / Al,i-aluminiyamu,ialuminiyami,i-aluminiyamu,i-aluminiyamu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_46,ammeter / amperemeter,ammeter / ampèremeter,isilinganisamandla sikagesi / i-amitha / isikalamandla sikagesi,isibali-mandla ombane,sikalagezi,isilinganisomlilo / i-amitha,,electricity,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_47,ammonia,ammoniak,i-amoniya,iamoniya,i-amoniya,i-amoniya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_48,ammonium chloride,ammoniumchloried,i-amoniyamu klorayidi,iklorini eneamoniya,amoniyamuklorayidi,i-amoniyamutlorayidi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_49,ammonium nitrate,ammoniumnitraat,i-amoniyamu nayithreyithi,isichumiso,amoniyamunayithrethi,i-amoniyamunayithrethi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_50,ampere / amp,ampère,isibalagesi / i-empu,iqondo lombane,i-emphu,i-ampere,,electricity,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_51,amphibian,amfibie,isilwane esiphila emanzini nasemhlabeni / i-amfibhiyeni,isihlali mhlabeni nasemanzini,siphilavenimantini,isirhwerhwe / isirhwarhwa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_52,amplifier,versterker,isandisamsindo / i-empulifaya,isandisi sandi,sikhulisamsindvo,isikhuphulamdumo / i-amplifaya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_53,anaemia,bloedarmoede / anemie,ukusweleka kwegazi / ukuntuleka kwegazi / i-anemiya,ubuthathaka begazi / ianimiya,umphelangati / sifo sekuphela ingati,umomela,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_54,anatomy,anatomie,umumo womzimba / isayensi yomumo womzimba,ufundo ngesakhiwo somzimba / imo yomzimba,sifundvomtimba,isayensi yejamo lomzimba / i-anathomi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_55,anchor,anker,ihange,iankile,sisimsio / sikhonkhwanemkhumbi,isikhonkwani / i-angere,noun,shipping,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_56,anchor,anker gooi,-zinzisa umkhumbi / -misa umkhumbi,ukubophelela inqanawe,simisa,angera,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_57,angle,hoek,igumbi / i-engele / i-engela,iengile / ikona / idolo,i-engeli,ihugu / i-engela, / noun / <symbol,, / <simbool,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_58,anhydrous,anhidries,-komile,eyomileyo / engenamanzi,-ngenamanti,-nganamanzi,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_59,animal,dier,isilwane,isilwanyana / isilo,silwane,isilwana / inyamazana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_60,animal manure,mis,umquba,umgquba,umcuba,umsuqwa / umtjhuqwa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_61,animal skin,huid / vel,isikhumba sesilwane,ufele / isikhumba,sikhumba / lugogo,isikhumba sesilwana / isikhumba senyamazana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_62,annual plant,eenjarige plant,isitshalo esinyakanye,isityalo sonyaka,sitjalomnyaka,isitjalo esimnyakanye,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_63,anode,anode,ikhanda lentambo lesifazane / i-anodi,ianodi / ingono yebhetri ephawulwe ngodibanisa,i-anodi,ilithiduna,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_64,ant,mier,intuthwane,imbovane,intfutfwane / incangosi,ubutjhontjhwani / unontsitsinyani,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_65,antelope / buck,wildsbok,umgakla / impofu,imbabala / isilwanyana esibubhokhwe,imbabala,imbuzimmango,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_66,antenna,antenne / voeler,uphondomuzwa / inzwangomoya,iimpondo,luphondvomiva,iphonjwana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_67,antenna / aerial,antenne / lugdraad,uthi / usiba / uthinongwana,ucingo / ieriyeli,i-eriyeli,isikhambisimazamdumo / isiba,,of radio,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_68,anther,helmknop / anter,isikhiqazimpova,ubunkunzi bentyatyambo / iqumbi,badvunambali,umgodlana wepova,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_69,ants’ nest,miernes,umgodi wezintuthwane / isiduli sezintuthwane,isiduli seembovane / isiqalane,sikhehle setintfutfwane,isiwulu sabotjhwentjhwani,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_70,apparatus,apparaat,insizakusebenza,izixhobo,tinsita,isisetjenziswa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_71,apple,appel,ihhabhula / i-aphula,iapile,lihhabhula / li-apula,i-apula / ihabhula,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_72,appliance,toestel,ithuluzi,isixhobo,insita,isisetjenziswa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_73,apricot,appelkoos,ibhilikosi,iaprikosi,i-aphrikhothi,umtjhidlana / ibhilikosi / uburilani,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_74,aquarium,akwarium,ithangi lezinhlanzi,iakhwariyami / indawo yokugcina iintlanzi,i-akhwariyamu,i-akhwariyamu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_75,arachnid,spinagtige,isicabucabu,izinambuzane ezimilenze isibhozo,nyawosiphohlongo / i-arashinida,isinyakazi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_76,arch,boog,igobela,igophe,insika legobekile,igobela,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_77,arch,buig,-goba,ukwenza igophe,goba,goba,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_78,arch bridge,boogbrug,ibhuloho eliyigobela,ibhulorho eligophe / umchankcatho oligophe,libhuloho lensika legobekile,ibhulorhogobela,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_79,architect,argitek,umdwebizakhiwo,umyili wezakhiwo,umdvwebitakhiwo,umtlamimakhiwo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_80,area,oppervlakte,indawo,umlinganiselo wendawo,indzawo,ubungako bendawo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_81,argon,argon,uhlobo lomoya olungenabungozi / i-agoni,igesi engenamandla,i-agoni,i-agoni,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_82,arrow,pyl,umcibisholo,utolo,butjoki / umcibisholo,umsubela / itjhobi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_83,arthropod,geleedpotige,izilwanyana ezingenamgogodla,oonomalungwana,inswelamgogodla,ikalaqephe,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_84,artificial,kunsmatig,-kokuzenzela / okwenziwe,uzenzele,umfutiselo,-enziweko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_85,artificial fertiliser,kunsmis,umanyolo wokuzenzela,uzenzele wesichumiso,manyolo wemfutiselo,isivundisi sokwenziwa / umanyoro,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_86,artificial magnet,kunsmagneet,uzibuthe wokuzenzela / uzibuthe wokuzakhela,uzenzele kamazibuthe,tibutse wemfutiselo,uzibuthe wokwenziwa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_87,artificial product,nagemaakte produk / kunsmatige produk,umkhiqizo wokuzenzela / umkhiqizo wokuzakhela,uzenzele wemveliso,umkhicito wemfutiselo,ivezo lokwenziwa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_88,asbestos / asb,asbes,itsheboya / u-asibhestasi,iasbhestosi,itjeboya / litjeboya / maboya,ilitjeboya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_89,ascorbic acid / vitamin C,askorbiensuur,isakhamzimba esinguvithamini C / i-esikobhikhi esidi,ivithamini C,i-askobhiki esidi / vithamini C,ivithamini C,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_90,asexual reproduction,aseksuele voortplanting,ukuzala kungahlangenwe,ukuzala kungaditywananga ngesini,kutalisa ngekungahlangani ngebulili,ukuzandisa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_91,astronaut,ruimtevaarder,usomkhathi,usomajukujuku,somkhatsi,usomkayi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_92,atmosphere,atmosfeer / lugruim,umkhathimpilo,ulwantwentwe lomoya,umkhatsi,i-athimosfere,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_93,atom,atoom,umsukantozonke,iathom,i-athomi,imbumbulo / i-athomu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_94,atomic energy,atoomenergie,umfutho womsukantozonke,amandla eathom,emandla e-athomi,amandla wembumbulo / amandla we-athomu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_95,attract,aantrek,-donsa / -heha,tsala / bizela,dvonsa / heha,dosa,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_96,attraction,aantrekking,ukudonsa / ukuheha,umtsalane / umbizelo,kuheha / kudvonsa,ukudosa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_97,attribute,eienskap,uphawu / umfuziselo,isimo / uphawu / ubunjani,luphawu / lufuto,ubunjalo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_98,automatic control,outomatiese beheer,isilawuli esizishintshayo,ulawulo lombane oluzenzekelayo,umshini lotintjintjako,izombelezo elizilawulako,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_99,autotrophic,outotroof,-gayazidlele / -khiqizazidlele,ezizenzela ukutya,-tikhicitelako,-zondlako,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_100,autumn,herfs,ikwindla,ukwindla,likwindla,isiruthwana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_101,average,gemiddeld,isilinganiso esimaphakathi,umyinge,silinganisomkhatsini / sibalomkhatsini,i-avareji,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_102,awl,els,usungulo,inyatyhoba / isilanda,lusungulo,isungulo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_103,axil,oksel,isikhala / okuvuleka kwebhaxa,isikhondo sesebe,liphaca,i-engele / i-ekzili,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_104,axis,aksis,umqumbe / imfumbe,isiqu esintshulayo,lihlumela,isiqu,,plants,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_105,axis,as / aslyn,imigqa ka-X no-Y,umgca ohamba embindini,injila,i-eksisi,,measurement,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_106,axis,spil / as,inkabamudwa,umzila wokujikeleza umhlaba,injila / i-eksisi,isikazombelo,,movement,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_107,baboon,bobbejaan,imfene,imfene,imfene,ifene,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_108,bacterium,bakterie,igciwane,intsholongwane,ibhakhthiriya,umulwana / ibhaktheriya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_109,bait,aas,isilutho / isiyengo,isigcayiseli / isithiyiseli / isilobi,sitsiyi,isilulubezo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_110,bakelite,bakeliet,isifukameli / isigubezeli,ibheyikhilayithi,sivikeli,ubheyikhilayithi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_111,baking powder,bakpoeier,isikhukhumalisi,igwele lokuxova / umgubo wokunyusa,sikhukhumalisi,ipuyere yokubhaga,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_112,balance,massameter,isilinganisi / isikali,isikali,silinganiso / sikalo,isilinganisi,noun,apparatus,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_113,balance,balans,uzinzo,ukuzinza,kusimama / kutinta,ukulingana,noun,equilibrium,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_114,balance,balanseer,-linganisa / -kala,lungelelanisa,kala / linganisa,linganisa / nzinzisa / dzimelelisa,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_115,balloon,ballon,ibhaluni,ibhaloni,ibhaluni,ibhaloni,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_116,bandage,verband,ibhandishi,ibhandeji / isibophi nxeba,libhandishi,ibhanditjhi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_117,barbed hook,weerhaak,ihhukumciji / ihhukunhlendla,irhengqe,lihhuka,ihugu emsubela,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_118,bare patch,kaal kol,uqwathule,ibala / umkhuthuka / itshanda,umcotfuka / imphandla / lucacadvu,igagadu / ibala,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_119,bare wire,kaal draad,intambo kagesi ehlubule,ucingo lombane oluze,luwayela loluhlubile / liduduzi lelihlubekile,umkhungo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_120,bark,boombas,ixolo / igxolo,ixolo,ligcolo,iqolo,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_121,bar magnet,staafmagneet,uzibuthe onxane / isitini sikazibuthe,umazibuthe,sitini satibutse,uzibuthe ositina,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_122,barn,skuur,ishede,istali / ishedi,ligushede / lihhisi,umrhoso / isilulu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_123,barn owl,kerkuil,isikhova,isikhova / inkovana,umsomi,isirhulurhulu somrhoso,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_124,base,basis,isisekelosithako / ikhemikhali eyisisekelo,ichiza lokwenza ityuwa,ibheyisi,isitjhuqisi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_125,battery,battery,ilahle / ibhethri,ibhetri,lilahle / ibhethri,ibhethri,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_126,battery holder / battery box,batterykas,isiqukathilahle / isiqukathibhethri,ibhokisi yebhetri,sibambabhethri,ibhokisi lebhethri,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_127,beach,strand,usebe lolwandle / ibhishi,unxweme / itheku,lugu / libhishi,ibhitjhi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_128,beady eye,kraalogie,iso elihlabayo,iliswana elikhazimlayo,liso lelibukhali,ilihlo elimngoma,,e.g. of a bird or mouse,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_129,beak,bek,unoqhwaku / unoqhaku,umlomo wentaka,umlomo wenyoni,umlomo wenyoni,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_130,beaker,beker,isitsha sokukala / ingilazi yokukala,ibhikha,sikalingilazi,ibhigiri,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_131,beam,straal,umsebe,umtha,umsebe,umsebe,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_132,bean,boon,ubhontshisi,imbotyi,libhontjisi,ihluma / ibhontjisi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_133,beard,baard,intshakaza,ubulembu / intshatshoba,sishakato,itjhatjhani,,tuft of hairs or bristles on certain plants,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_134,beard,baard,intshebe,iindevu,silevu,iindevu,,hair growing on the skin,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_135,bee,by,inyosi,inyosi,inyosi,inyosi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_136,beech,boekenhout / beukehout,ubande / ibhishithi,umthi oneenqoba ezingunxantathu,ibhitji,umhlobo othileko kasinjana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_137,beehive,byekorf,indlu yezinyosi,itsili / iphahlothi,imphalu,isirurhu seenyosi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_138,bell-jar,klokglas,ujeke wesampula / ujeke wesiboniselo,ijagi / ijoko,lijeke lemasampula,idiko / iqobho,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_139,belt,band,ibhande,ibhanti,libhande,umutja,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_140,bench,werkbank / bank,ibhentshi,ibhentshi,libhentji / litafula lekusebentela,ibhentji,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_141,bench hook,bankhaak,ibhaxa,isixhasi-msarho,liphaca lekusahela / sibambisibhentji,isigunadzeli,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_142,bend,buig,-goba / -gobisa,goba,goba,goba,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_143,bent,gebuig,-gobile,egobileyo,gobekile / gotjiwe,-gobeneko,adjective,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_144,benzine,bensien,ibhenzini,ibhenzina,ibhenzini,ibhenzini,,chemical substance,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_145,beta carotene,betakaroteen,isikhuthazamzimba / ibhethakharathini,isiniki mbala esisisakhi mzimba,ibhethakharothini,isasarulanisi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_146,bicarbonate of soda,koeksoda / natriumbikarbonaat,usota,isoda yekhabhonethi,ikhukhisoda,isidlavuzisibilisi,,,,,,,,,,,,
