id,eng,afr,zul,xho,ssw,nbl,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info
dsac_natural_science_and_technology_term_list_nguni_languages_505,cotyledon,kotiledon / saadlob,umqumbe,igqabi lokuqala lembewu,licembe lekucala / ikhothilidoni,ikhothilidoni,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_506,courting,hofmakery,ukuqomisa / ukushela,ukufunana,kusomana,ijayelano leenthandani,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_507,courting ritual,hofmaakritueel,ukudlalisela / ukuholoba,izimbo zokufunana,inchubo yekusoma,ikambiso yokujayelana kweenthandani,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_508,covering,omhulsel,ukumboza,ukugquma / isigqumi / ukujijela,sivikelo / sigcokiso / simbatsiso,isiphuthelo / isigubuzeso sedarada,,electricity,,,,ugesi,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_509,covering,bedekking,isikhumba sesilwanyana,isikhumba,sikhumba,isembeso,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_510,cow,koei,inkomazi,imazi yenkomo,inkhomati,ikomazi / ikomo / ikwiye,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_511,crane,hyskraan,unkaxa / umboko / isicakuli,isilenge,siphakamisi,ikhreyini / umagugana,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_512,crank,krukstaaf,isigwedlo,umphambo wokujija / umqheba wokujija,umkhrenko,umkrenko,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_513,crank mechanism,krukmeganisme,isigwedli,intsebenzo yomphambo / intsebenzo yomqheba,sigwedlo semkhrenko,isikrenkiso,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_514,cream of tartar,kremetart,isithambisi,isidambisi,sitsambisi,ikrimatata,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_515,crease,kreukel,umqolo / umugqa / umgedlo,ukushwabana / amanya / imibimbi,umgedla,itjhwabano,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_516,creature,skepsel,isidalwa,isidalwa,sidalwa,isidalwa,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_517,cricket,kriek,isihlonono,inyenzane / ikritsi,inyekevu,utsiritsiri / uqoqomela,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_518,criterion,kriterium / maatstaf,yindlela yokwenza,umgaqo / isikhokelo / uphawu,simisomgomo,indlela,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_519,croak,kwaak,ukukhala kwexoxo / ukukhala kwesele,ingxokozelo,umsindvo sicoco,irhwarhwazo,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_520,crochet,hekel,ukukhilosha,ukuluka,kukolosha,ukukorotjha,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_521,crocodile,krokodil,ingwenya,ingwenya,ingwenya,igulukudela / ingwenya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_522,crop,gewas,isitshalo,isivuno / isilimo,sitjalo / silimo,isivuno,noun,e.g. wheat,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_523,crop,krop,isikhikhila / isikikila,indlela,sikhikhila,ingwili,noun,bird’s gullet,,,,,,,,,,
