id,eng,afr,tsn,nso,sot,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info
dsac_natural_sciences_and_technology_dictionary_sotho_2437,technological process,tegnologiese proses,tselathekeniki,tirišo ya theknolotši / tlhamo ya theknolotši,tshebetso ya theknoloji,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2438,technology,tegnologie,thekenoloji,theknolotši,theknoloji,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2439,teeth,tande,meno,meno,meno,pl / see tooth,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2440,telephone,telefoon,mogala / thelefounu,mogala / motato / foune,mohala / fonofono,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2441,television set / television / TV,televisiestel,thelebišene,thelevišene / thelebišene,thelevishene,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2442,temper,temper,kwamisa,tswaka / themphara,kgoba / tea,verb,steel,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2443,temperature,temperatuur,bogotetsididi / themphereitšha,themphereitšha,themphereitjha,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2444,template,patroon / maatplaat,sesegisi / segatisi,sešupo / themphleite / thempleite,sebopelo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2445,tendril,rank,seranki,molebe / tatanyane / tatamolebo / thendrile,molebo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2446,tensile force,trekkrag,maatlangaologo,maatlangangego,tshutumetso e tamollang,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2447,tensile strength,treksterkte,thatangaologo,kgotlelelongangego,matla a tsharoloho,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2448,tension,spanning,kgagamalo,ngangego,ho tiya,,e.g. mechanics strength of materials,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2449,tension meter,spanningsmeter,selekanyakgagamalo,sekalangangego,selekanya ho tiya,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2450,tent,tent,tente,ntlatlaupana / tente,tente,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2451,tent peg,tentpen,lomapo lwa tente,kokotwane / kokontwane,thakgisa,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2452,terminal,terminaal,makopanelo,theminale,monoko,noun,electricity,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2453,terminal,aansluitklamp / aansluiter,ntlhana,theminale,theminale,noun,battery,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2454,terminal,terminaal,-khutlang,ya theminale,e ntlhaneng,adjective,technical,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2455,terrarium,terrarium,therariamo,therariamo,theraniamo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2456,test,toets,lekeletsa,leka,leka / hlahloba,verb,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2457,test,toets,teko,teko,teko,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2458,test tube,proefbuis,tšhuputekeletso,tšhuputekelo,tjhupu ya teko,,,,,,,,,,
