id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_mathematics_dictionary_r_to_6_299,element,element,ilungu,ilungu,lilunga,ilunga,elemente / karolo,elemente / setho,elemente,eḽementhe / muraḓo,elemente / xirho / xiphemu,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_300,ellipse,ellips,umbhoxo / isiyingi esisaqanda,umbhoxo / ukumila mbhoxo,umphontjolozi / umpholonja,ijamo elisaqanda,tshekeletsa-metopo,selee / sekalee,motopo,mutengebande,xitandza,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_301,ellipsoid,ellipsoïed,okusambhoxo,embhoxo,salicandza / sampontjolozi / sampholonja / i-eliphusoyidi,-saqanda / -buqanda,-e e motopo,popegolee,e motopo,eḽipisoidi,vutandza,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_302,empty,leeg,ngenalutho,engenanto,-ngenalutfo / -te lutfo,-nganalitho / -dududu / -ze,lolea,senago selo,-lephaka / -lelea,-si na tshithu / pumu,hava,adjective,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_303,empty,ledig / leegmaak,thulula / khipha,khupha,tfulula,kghuthula / phalaza / thulula,lolea,kgothola / tšholla / ntšha,tsholla / qhala / kgokgotha,-shulula,halata / chulula,verb,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_304,enable,in staat stel,siza / gunyaza,yenza akwazi / yenza abe nakho,enta kusebente / nika emandla / gunyata,kghonisa,kgontsha,kgontšha,ho neha bokgoni,-konisa,pfuneta,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_305,encounter,teëkom / teenkom,hlangabezana / nqwamana,hlangana / dibana / qubisana / fumana,hlangabetana,hlangana,kwelano / rakana,welana / thulana / kopana,teana / kopana,ṱangana na,hlangana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_306,encourage,aanmoedig / aanspoor,khuthaza / gqugquzela,khuthaza,gcugcutela / khutsata,khuthaza,rotloetsa,hlohleletša / go tutuetša / kgothaletša,kgothaletsa,ṱuṱuwedza,kucetela / khutaza,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_307,end,einde,isigcino / isiphetho,isiphelo / isiphetho,siphetfo,isiphetho,bokhutlo,bofelo / mafelelo,qetello / pheletso,magumo,makumu,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_308,enough,genoeg,ngokwanele,kwanele,ngalokwenele,aneleko,lekane,lekane,lekane,lingana,ringana,,amount,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_309,enrichment,verryking,ukwengeza / ukuthasisela,ukutyebisa / isiphuhliso,sengeto,isinonisi / isinothisi,khumiso / nonotsho / nonotsha,nontšho / kaonafatšo / kgodišo,ntlafatso,muengedzedzo,fuwisa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_310,equal,is gelyk aan / gelyk wees aan,lingana / kwenza,zilingana / zenza,lingana ne / lingana na,enza u,lekana le,e lekana le,e lekana le,lingana na / eḓana na,ringana na,symbol = / verb,amount,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_311,equal,gelyk,lingana,ngokulinganayo,-linganako,linganako,lekana,lekana,lekanang,zwi eḓana na / lingana / eḓana,ku ringana,adjective,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_312,equal amount,gelyke bedrag / gelyke hoeveelheid,inani elilinganayo / isamba esilinganayo,umyinge olinganayo / isahlulo esilinganayo,linani lelilinganako,inani elilinganako,seelotekanyo,bokaalotekano / bokaalo bja go lekana,bokalo bo lekanang,tshivhalo tshi eḓanaho / ṱhanganelo i linganaho / ṱhanganelo i eḓanaho,ntsengo wo ringana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_313,equal distance,gelyke afstand,ibanga elilinganayo,umgama olinganayo,libanga lelilinganako,ibanga elilinganako,sekgalatekano,bokgoletekano / bokgole bja go lekana / sekgoba sa go lekana,bohole bo lekanang,tshikhala tshi eḓanaho / tshikhala tshi linganaho,mpfhuka wo ringana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_314,equal division,gelyke verdeling,ukwehlukanisa ngokulingana,isahlulo esilinganayo,kwehlukanisa ngalokulinganako,ukuhlukanisa okulinganako,karolotekano,karolotekano / kgaoganyotekano,ho arolwa ka ho lekana,u kovhekanya hu eḓanaho / mukovho u linganaho / mukovho u eḓanaho,ku avanyisa ko ringana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_315,equal group,gelyke groep,amaqoqo alinganayo,iqela elilingana nelinye,licembu lelilinganako,isiqhema esilinganako,setlhophatekano,sehlophatekano,dihlopha tse lekanang,zwigwada zwi eḓanaho / tshigwada tshi linganaho / tshigwada tshi eḓanaho,ntlawa wo ringana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_316,equal length,gelyke lengte,ubude obulinganayo,ubude obulinganayo,budze lobulinganako,ubude obulinganako,boleeletekano,boteleletekano,bolelele bo lekanang,vhulapfu vhu eḓanaho / vhulapfu vhu linganaho,ku leha ko ringana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_317,equally,gelykop,ngokulingana,ngokulinganayo,ngalokulinganako,ngokulinganako,ka go lekalekana,ka go lekana,ka ho lekana,zwi eḓanaho / linganaho,hi ku ringana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_318,equal parts,gelyke dele,izingxenye ezilinganayo,amalungu alinganayo,tincenye letilinganako,iingcenye ezilinganako,dikarolotekano,dikarolo tša go lekana / diripa tša go lekana,dikarolo tse lekanang,tshipiḓa tshi eḓanaho / zwipiḓa zwi linganaho,swiphemu swo ringana,usually used in the plural,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_319,equal sign,gelykteken / gelykaanteken / gelykheidsteken,uphawu lokulinganisa,uphawu lolingano,luphawu lwekulinganisa,itshwayo lokulingana,letshwaotekano,leswao le le lekana le,letshwao la tekanyo,tshiga tshi eḓanaho / tshilinganyi / tshiga tshilinganyi,mfungho wo ringanisa / nhlanga-ndzinganiso,=,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_320,equal size,ewe groot,ubungako obulinganayo,isayizi elinganayo / ubungakanani,bungako lobulinganako / bukhulu lobulinganako,ubukhulu obulinganako,bogolotekano,bogolo bja go lekana,boholo bo lekanang,muelo u eḓanaho / saizi i eḓanaho / vhuhulu vhu linganaho / vhuhulu vhu eḓanaho,swo ringana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_321,equal to,gelyk aan,lingana na / kwenza,lingana ne / zenza u,kulingana na / -lingana ne,-lingana na,lekana le,e lekana le,ho lekana le,zwi eḓana na / zwi lingana na,ringana na,symbol =,amount,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_322,equation,vergelyking,isibalo esilingana nesinye / i-ikhweyishini,i-ikhweyizhini / ingxelo yolingano,i-ikhwezhini,isibalo esilingana nesinye,polelo-tekatekano,tekantšho / papišotekantšho,ikhweishene,ikhwesheni / ndinganyiso,xiringaniso / ikhwexini,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_323,equilateral,gelyksydig,nhlangothilingana,unxantathu olingana macala,calalingana,-namahlangothi alinganako,tlhakoretekana,hlakoretekano,mahlakore a lekanang,masianyeḓana,matlhelo yo ringana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_324,equilibrium,ewewig / balans,isimo sokulingana,ukulingana esikalini / ulingano,simeme,ikhwilibhriyamu,tekatekano,tekatekano / kelotekatekano / papišotekatekano,tekatekano,ndinganelo / ikhwiḽibiriamu,swa mpimo-ringana / ikhwilibiriyamu,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_325,equivalent,ekwivalent,lingana / fana,linganayo / ukulingana,lingane ne / lingana na / linganisiwe,-linganako,-lekanang / selekani / lekanang,lekanego / swana,tshwana,ndingano,swo yelana,adjective,,,,,,,,,,,,,,,,,,,,,
