id,eng,afr,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_natural_sciences_and_technology_for_grade_4_to_6_0,abdomen,abdomen,thumbuthumbu,khwiri,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_1,absorb,absorbeer,tzwonzwa / nwa,tswonga,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_2,absorption,absorbering / absorpsie,mutzwonzwo / munwelo,ntswongo,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_3,acacia,akasia,muunga,nkonde / munga / muluwa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_4,access,toegang,tswikelo,mpfumelelo / mfanelo / ku nghena / mfikelelo,noun,computers,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_5,access,toegang verkry,-swikela,pfumelela / nghena / fikelela,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_6,accumulate,ophoop / akkumuleer,kuvhanganya / kuvhangana / engedza / khokha,hlengeleta,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_7,accumulator,akkumulator / opgaarbattery,tshikuvhanganyi,xihlengeleta-gezi / xihlayisa-gezi,,battery,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_8,accumulator,akkumulator,akhumuḽeitha,rhijisitara-xikhomphyuta / rhijisitara-xikhomphyutara,,computer,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_9,accurate,akkuraat / noukeurig,kwakwakwa / -one,khaqa! / xonaxona / kwatsa!,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_10,acid,suur,esidi,rimunywana / asidi / esidi,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_11,acid rain,suurreën,mvula ya esidi,mpfula asidi / mpfula rimunywana / mpfula esidi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_12,acrylic paint,akrielverf,pennde ya akhreḽiki,pende-mati,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_13,acrylic resin,akrielhars,ṋonzhe ya akhreḽiki,xivumba-pulasitiki,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_14,additive,bymiddel,tshiengedzwa,xiengetelo / xinyunyetelo,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_15,adhesive,kleefmiddel,tshinambatedzi,xidamarheti / xinamarheti / xinamaketi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_16,adventitious root / fibrous root / bushy root,bywortel,mudzivudzi,rimitsu-navalala,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_17,aeroplane,vliegtuig,ṱharabuḽei / bufho,xihaha-mpfhuka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_18,agent,agens,tshishandukisi,xivangi / xihundzuri,,e.g. chemical,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_19,agricultural product,landbouproduk,tshibveledzwa tsha vhulimi,xirin’wa / xikumiwa xa vufuwi / xifun’wa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_20,agriculture,landbou,vhulimi,vurimi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_21,air,lug,muya / mufhe,moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_22,air bubble / bubble,blasie / lugblasie,bulo,ximbyarumbyaru,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_23,air-conditioning,lugversorging,ndango ya muya,xilawula-mahiselo,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_24,aircraft,lugvaartuig,bufho,xihahampfhuka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_25,air current,lugstroom,lutsinga lwa muya,moya-nkhuluko,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_26,air-cushion,lugkussing,khushini ya muya / tshisiamelo tsha muya,xikhigelo-moya / xiseketelo-moya / xinkwamana-moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_27,air drill,druklugboor,vhoro ya muya,borho-moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_28,air flow,lugstroming,nyelelo ya muya,nkhuluko-moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_29,air pollution,lugbesoedeling,tshikafhadzo ya muya,nthyakiso-moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_30,airport,lughawe,vhukavhamabufho / vhukavhaṱharabuḽei,vuyima-swihahampfhuka / vuhahisela-swihahampfhuka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_31,air receiver,lughouer,tshiṱanganedzamuya,xitamela-moya / xiamukela-moya,,technology,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_32,air reservoir,lugreservoir,tshifaramuya,xihlayisa-moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_33,airtight,lugdig,-valaho muya,xo alela moya / xo tsimba moya / xo fundza moya,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_34,albatross,albatros,aḽibetrosi,alibatirosi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_35,alcohol,alkohol,aḽikhohoḽi,xihoko,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_36,alcoholic drink,alkoholiese drank,tshikambi,xinwiwa xa xihoko,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_37,alkali,alkali,alkaḽi,kalaka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_38,alkaline,alkalies,-alkaḽaini,xa kalaka,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_39,alligator,alligator / kaaiman,ngweṋa / aḽigeitha,aligetara,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_40,alloy,allooi / legering,aḽoyi,aloyi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_41,aloe,aalwyn,tshikhopha / bindamutshe,mhangana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_42,aloe flower,aalwynblom,dzuvha ḽa tshikhopha / dzuvha ḽa bindamutshe,xiluva xa mhangana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_43,alternating current,wisselstroom,lutsingaṱhanḓukanyi / lutsingatsielisani,nkhuluko-cincacinco,,electricity,,,,,,wa gezi
dsac_natural_sciences_and_technology_for_grade_4_to_6_44,altitude,hoogte,vhunṱha,vutlakuki,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_45,aluminium / Al,aluminium / Al,aḽuminiamu,aluminiyamu / alamini,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_46,ammeter / amperemeter,ammeter / ampèremeter,amitha,xipima-nkhuluko,,electricity,,,,,,wa gezi
dsac_natural_sciences_and_technology_for_grade_4_to_6_47,ammonia,ammoniak,amonia,amoniya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_48,ammonium chloride,ammoniumchloried,kuḽoraidi ya amonia,tlilorayidi-moniya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_49,ammonium nitrate,ammoniumnitraat,naiṱreithi ya amonia,nayitireyiti-moniya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_50,amp / ampere,ampère,empere,empe,,electricity,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_51,amphibian,amfibie,tshitshilahuvhili / amfibia,xihanya-matini ni le handle / amfibiya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_52,amplifier,versterker,khudzamubvumo,xikurisa-mpfumawulo / ximbvungunyisi / amburufaya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_53,anaemia,bloedarmoede / anemie,ṱhahelelo ya malofha / anemia,vukalangati / anemiya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_54,anatomy,anatomie,anathomi / ngudamuvhili,ntivo-swirho / anathomi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_55,anchor,anker,thikho / tshiimisi,nkuleko / nkhungo / nsoma,noun,shipping,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_56,anchor,anker gooi,ima / -imisa,kuleka / boha / khunga,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_57,angle,hoek,engele / khuḓa,yinhla / engele / nhlohlwe / khona,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_58,anhydrous,anhidries,-omaho,xo kala mati / xo hava mati / xo pfumala mati,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_59,animal,dier,phukha,xiharhi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_60,animal manure,mis,mupfudze wa phukha,quva,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_61,animal skin,huid / vel,mukumba,dzovo / xikhumba,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_62,annual plant,eenjarige plant,tshimela tsha ṅwaha,ximila-nguvayin’we,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_63,anode,anode,anoudu,anodi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_64,ant,mier,lusunzi / sunzi,risokoti / nsokoti / vusosa / vusokoti,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_65,antelope / buck,wildsbok,mbavhala,mhala,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_66,antenna,antenne / voeler,tshiphuphuledzi,xiambamberi / xitwi / xitembi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_67,antenna / aerial,antenne / lugdraad,tshiphuphuledzi,xiambamberi / xitwi / xitembi,,of radio,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_68,anther,helmknop / anter,vudzivula,mfuku-rivandza,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_69,ants’ nest,miernes,tshiṱaha tsha masunzi,xisaka xa vusokoti,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_70,apparatus,apparaat,tshishumiswa,switirhisiwa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_71,apple,appel,apuḽa,apula,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_72,appliance,toestel,tshishumiswa,xitirhiso / xitirhisiwa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_73,apricot,appelkoos,apuḽikoso,apirikoti,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_74,aquarium,akwarium,akhwariamu,vuhlayisela-swihanyamatini / akhwariyamu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_75,arachnid,spinagtige,aratshinidi,ndyangu wa switsotswana / ndyangu wa swilumi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_76,arch,boog,-akha,rikhotso / xigovo / xivurha,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_77,arch,buig,-ita akha,gova / petsa / khotsa,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_78,arch bridge,boogbrug,buroho ya akha,buloho-xivurha,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_79,architect,argitek,muatshithekithi / muoli wa pulane ya nnḓu,mupulana miako,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_80,area,oppervlakte,nyalo,vuandlalo / byandlalo / xivandla / ndhawu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_81,argon,argon,agoni,arigoni,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_82,arrow,pyl,musevhe,nseve,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_83,arthropod,geleidpotige,athyiropoda,xikala-longo,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_84,artificial,kunsmatig,tshiedza,swo tumbuluxiwa hi vanhu / swo endliwa hi vanhu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_85,artificial fertiliser,kunsmis,manyoroedza,manyoro,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_86,artificial magnet,kunsmagneet,maginetheedza,maginete yo endliwa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_87,artificial product,nagemaakte produk / kunsmatige produk,tshibveledzwaedza,xo endliwa hi munhu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_88,asbestos / asb,asbes,asbesitosi / ḽihevudzi,asibesitosi / marilarila,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_89,ascorbic acid / vitamin C,askorbiensuur,askobiki / esidi ya askobiki,vhitamini ya C / asidi ya asikobiki / esidi ya asikobiki,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_90,asexual reproduction,aseksuele voortplanting,mbebo hu si na vhudzekani,andziso-nkalanhlangano,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_91,astronaut,ruimtevaarder,muendatshikhalani,muhandzula-mpfhuka / mudavula-mpfhuka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_92,atmosphere,atmosfeer / lugruim,dzingamufhe,moya-khubu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_93,atom,atoom,athomu,athomo,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_94,atomic energy,atoomenergie,fulufulu ḽa athomu,matimba ya athomo / ntamu wa athomo,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_95,attract,aantrek,-kokodza,koka,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_96,attraction,aantrekking,khokhodzo,nkoko / nkokano,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_97,attribute,eienskap,tshiṱaluli,vubumabumelo / xihlawulekisi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_98,automatic control,outomatiese beheer,tshiḓilangi,xitilawuri,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_99,autotrophic,outotroof,-ḓiitelaho zwiḽiwa,xo tiendlela swakudya,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_100,autumn,herfs,tshifhefho,xixikana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_101,average,gemiddeld,tshikati,nhlayo-xikarhi,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_102,awl,els,murumbulo,ntlhavo / xibovozi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_103,axil,oksel,ekiziḽi,xiphandzi / phandzi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_104,axis,aksis,ekizisi,hluke / xihluke,,plants,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_105,axis,as / aslyn,ekizisi,ekizisi / akisisi,,measurement,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_106,axis,spil / as,mutalokhethanyo,xiseketeri / xiyimisi / phandzi,,movement,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_107,baboon,bobbejaan,pfeṋe,mfenhe,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_108,bacterium,bakterie,tshisinisi / tshitzhili,xivirisi / xiborisi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_109,bait,aas,ndodo / tshikungi,ndzhongho / xidyerisi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_110,bakelite,bakeliet,bekḽaithi,bekilayiti,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_111,baking powder,bakpoeier,mbilisa,xikukumuxi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_112,balance,massameter,tshilinganyisi,xiringanisi / xipimi,noun,apparatus,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_113,balance,balans,ndinganyiso,ndzingananiso / mpimananiso,noun,equilibrium,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_114,balance,balanseer,-linganyisa,ringananisa / pimananisa,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_115,balloon,ballon,baḽoni,baloni,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_116,bandage,verband,banditshi,bandichi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_117,barbed hook,weerhaak,ngovhe ya mipfa,mutwa wa darata,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_118,bare patch,kaal kol,lukangala,ripala / rivala / rikwandzasi / mpandlha,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_119,bare wire,kaal draad,ḓaraṱa tshayaphutheli,darata ya gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_120,bark,boombas,gwati,rihanti,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_121,bar magnet,staafmagneet,magnethe wa baa,maginete ya bara,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_122,barn,skuur,gushete,dulu / xivala / xitlati / nturuka / tshanga,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_123,barn owl,kerkuil,tshikhwitha / gwitha,xikhovha / nkuhunu / mankhudu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_124,base,basis,beisi,xidzungisi / kalaka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_125,battery,battery,beṱiri,betiri,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_126,battery holder / battery box,batterykas,tshifarabeṱiri,bokisi ra betiri / xikhoma-betiri,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_127,beach,strand,bitshi,ribuwu ra lwandle / rigiyagiya ra lwandle,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_128,beady eye,kraalogie,ḽiṱo ḽiṱuku ḽi penyaho,xitihlwana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_129,beak,bek,mulomo wa tshiṋoni,nomo wa xinyenyana / nomo wa huku / xijovoti / xijovoloti,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_130,beaker,beker,bikha,xinghilazana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_131,beam,straal,bimu / matalazaza / masana,minseve,noun,,,,,,,ya dyambu
dsac_natural_sciences_and_technology_for_grade_4_to_6_132,bean,boon,ṋawa,nyawa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_133,beard,baard,malebvudzi,vululwani / vululwanyi,,tuft of hairs,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_134,beard,baard,ndebvu,malebvu / malepfu,,hair growing on skin,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_135,bee,by,ṋotshi,nyoxi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_136,beech,boekenhout / beukehout,mubitshi,mubichi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_137,beehive,byekorf,pfuwa / ṱhango,baku ra tinyoxi / ntsoko wa tinyoxi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_138,bell-jar,klokglas,beldzhaa,xijarana / bodhlela,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_139,belly button / navel,naeltjie,ṋdzayo,xivumbu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_140,belt,band,bannda,bandi / nkhamu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_141,bench,werkbank / bank,bannga,bence / benci,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_142,bench hook,bankhaak,tsahela,xisahelo / xisahelwana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_143,bend,buig,-khotha,petsa / gova / khotsa,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_144,bent,gebuig,-kombamaho,xo khotseka / xo goveka / xo petseka,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_145,benzine,bensien,bennzina,benzini,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_146,beta carotene,betakaroteen,kharothina ya betha,karotini ya bita,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_147,bicarbonate of soda,koeksoda / natriumbikarbonaat,soda ya u bika,khukhusoda,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_148,bicycle,fiets,lukanyakanya / baisigira,xikanyakanya / bayisikiri,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_149,bilharzia,bilharzia,muṱamboṱambo / tshifunga,ndzhundzhwana / muthundanghazi / bilihaziya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_150,bind,bind,-ṱanganya,khomanisa,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_151,binoculars,verkyker,maforokiki,bayinokhula / xivonakule,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_152,biodegradable,bioafbreekbaar,-tshisiniseaho,xa swibolwa,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_153,bird,voël,tshiṋoni,xinyenyana / nyenyana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_154,birdbath,voëlbad,tshiṱambelazwiṋoni / ṱhambelazwiṋoni,xihlambela-swinyenyana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_155,bird of prey,roofvoël,tshiṋoni tshidyaṋama,nyenyana yo dya nyama / nyenyana yo hlota / xinyenyana xo dya nyama / xinyenyana xo hlota,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_156,birth,geboorte,mbebo,ku tumbuluka / ku tswariwa / ku velekiwa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_157,birth weight,geboortegewig,tshilemetshambebo,ntiko wo velekiwa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_158,bitch,teef,mmbwa ya tsadzi,nkati,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_159,black,swart,-tswu,ntima,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_160,blackjack,knapsekêrel,mushidzhi,muxiji,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_161,black oystercatcher,swart oestervanger,ḽiṋulakhovhe,nyenyana yo dya swihumbana / xinyenyana xo dya swihumbana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_162,blacksmith,grofsmid / ystersmid,mufulatsimbi,mufuri,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_163,blade,blad,bande / baphathi / buḽeidi,ripapa,,fixed structure,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_164,blade,blaar,baphathi,kamba / tluka / khamba,,leaf,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_165,blade,lem,vhuhalini,rikari / xisinghwani / xikaringana / xirhezana,,cutting tool,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_166,blanket,kombers,nguvho,nkumba / xuka / vholo,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_167,bleach / bleaching agent,bleikmiddel,tshihalulusi,xibasisi / xitengisi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_168,block,takelblok / blokstelsel,buḽoko,xipima-ntikelo / phuli,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_169,block graph,blokgrafiek,girafu ya zwidanga,girafu ya tibuloko,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_170,blood,bloed,malofha,ngati,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_171,blood cell,bloedsel,sele ya malofha,sele ya ngati / xiphemuntsongo xa ngati,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_172,blood flow,bloedvloei,muelelo wa malofha,makhulukelo ya ngati,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_173,bloodstream,bloedstroom,lutsinga lwa malofha,nkhuluko wa ngati / vukhuluki bya ngati,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_174,blood vessel,bloedvat,lutsinga,nsiha wa ngati,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_175,bloom,blom,dzuvha,mbhaleko / nhluko / hluke,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_176,bloom,blom / bloei,-fhufhuma,buloma / baleka / hluka,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_177,blossom,bloeisel,phuphumo,mbhaleko / ndzhumbuko / xirhumbuko,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_178,blossom,bloei,-fhufhuma,rhumbuka / baleka,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_179,blotting paper,kladpapier,bammbiritswonzwa / bammbiri ḽa u tzwonzwa,phepha ro tswonga / xitswongi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_180,blow,waai,-vhudzula,hunga / huhutela / fufutela,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_181,blow off,wegwaai,-wisa,dzudzeka / hungeka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_182,blubber,walvisspek,mapfura a khovhe,mafurha ya nkavangaheti,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_183,blue,blou,muvhala wa lutombo / muvhala wa denga,wasi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_184,blue-black,blouswart,lutombodombelela,wasidzwii,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_185,blue wildebeest,blouwildebees,khongoni,hongonyi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_186,blunt nail,stomp nael,lwala lwo gomalaho,nwala wo bvinyeka / n’wala yo bvinyeka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_187,boat,boot,gungwa,byatso / xikwekwetsu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_188,body,liggaam,muvhili,miri / muzimba,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_189,body shape,liggaamsvorm,mbonalo ya muvhili / tshivhumbeo tsha muvhili,xivumbeko xa miri,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_190,body temperature,liggaamstemperatuur,thempharetsha ya muvhili,mahiselo ya miri,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_191,boil,kook,vhilisa,vila / pupuma / huhuma,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_192,boiled water,gekookte water,maḓi o vhiliswaho,mati yo virisiwa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_193,boiling water,kokende water,maḓi a vhilaho,mati yo vila / mati yo kaluma,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_194,borehole,boorgat,dindi ḽa maḓi ḽo vhoriwaho / bidzi,pitsi / xibababa / borho,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_195,botanist,botanis,mugudazwimela,mutiva-swimila / mutokota-swimila,,,,,,,,
