id,eng,afr,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_natural_sciences_and_technology_for_grade_4_to_6_699,earpiece,gehoorstuk,tshiṱanganedzi,nhloko ya riqingho,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_700,earth,aarde,ḽifhasi,misava,,planet,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_701,earth,aarding,ethye,xitimula-gezi,,electrical,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_702,earth leakage,aardlekkasie,ethye ḽikhedzhi,bokisi ra xitimula-gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_703,earth-leakage relay switch,aardlekrelê,switshi ya ethye ḽikhedzhi,swichi ya bokisi ra xitimula-gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_704,earth’s crust,aardkors,goko ḽa shango,xiphemu xa misava xa le henhla,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_705,earth’s surface,aardoppervlak,nnḓa ha ḽifhasi,vuhenhla bya misava,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_706,earth wire,aarding,ḓaraṱa ya ethye,ntambhu ya xitimula-gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_707,earthworm,erdwurm,lusuḓu,nxikwa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_708,east,oos,Vhubvaḓuvha,vuxa / vuxeni,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_709,ebony,ebbehout,eboni,mhandze ya xilutsi / mhandze ya xipalatsi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_710,eco-,eko-,zwa mupo,swa mbangu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_711,eco-friendly,omgewingsvriendelik,-zwi anḓanaho na mupo,swo twana ni swa mbangu,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_712,eco-tourism,ekotoerisme,vhusendela mashango ha ndondolamupo,vupfhumba bya swa mbangu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_713,edge,rand,lumeme,makumu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_714,eel,paling / aal,khunga,hunga,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_715,effect,effek,mveledzwa,mbuyelo / makumu,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_716,effective,doeltreffend / effektief,bveledzaho / mvelelondavhelelwa / shumaho zwavhuḓi,pfunaka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_717,efficiency,doeltreffendheid,vhukoni,vuswikoti,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_718,effort,poging / inspanning,vhuḓidini / nungo,matimba / tshalatshala,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_719,egg,eier,gumba,tandza,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_720,egg cell,eiersel,sele ya gumba,sele ya tandza,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_721,egg shell,eierdop,gwangwa ḽa gumba / makero,xiphambati xa tandza / khamba ra tandza,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_722,egg white,eierwit,tshitshena tsha gumba,xiphemu xo basa xa tandza,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_723,egg yolk / egg yolk,eiergeel / dooier,tshirulwane tsha gumba / tsha ṱaḓa tsha gumba,ntsutsu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_724,egret,egretreier / egret,igrethe / ḽilisakholomo,magondzwana / dzandza,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_725,Egyptian goose,kolgans,sekwa ḽa Egipita,sekwa ra Xigipita,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_726,elastic,rekbaar / elasties,-tatamuwaho,xo tsanyuka,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_727,elastic,rek,ḽasiṱiki,xitsanyuki,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_728,elastic band,rek,bannda ya ḽasiṱiki / luḽekere,bandi ro tsanyuka / xirhekedyana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_729,elastic potential energy,elastiesepotensiaal-energie,fulufulu ḽo faredzwaho nga ḽasiṱiki,matimba ya xitsanyuki,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_730,electric / electrical,elektries,-tsha muḓagasi,xa gezi,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_731,electrical appliance,elektriese toestel,tshishumiswa tsha muḓagasi,xitirhiso xa gezi / xitirhisiwa xa gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_732,electrical cable / cable,elektriese kabel,khebuḽu ya muḓagasi,khebulu ya gezi / ntambhu ya gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_733,electrical charge / charge,elektriese lading,tshadzhi ya muḓagasi,matimba ya gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_734,electrical current,elektriese stroom,lutsinga lwa muḓagasi,nkhululo wa gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_735,electrical energy,elektriese energie,fulufulu ḽa muḓagasi,ntamu wa gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_736,electrical motor,elektriese motor,motho wa muḓagasi,muchini wa gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_737,electrical switch,elektriese skakelaar,switshi ya muḓagasi,swichi ya gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_738,electrical wiring,elektriese bedrading,u dzhenisa muḓagasi / u wayara,ndzumeketo wa tintambhu ta gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_739,electric circuit,elektriese stroombaan / kring,sekhethe ya muḓagasi,sekete ya gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_740,electricity,elektrisiteit,muḓagasi,gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_741,electric lawnmower,elektriese grassnyer,mutshini wa u gera mahatsi wa muḓagasi,xitsema-byanyi xa gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_742,electric plug,elektriese prop,puḽaka ya muḓagasi,pulaga ya gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_743,electric shock / shock,elektriese skok,tshokwa / rwiwa nga muḓagasi,ku chokiwa / ku biwa hi gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_744,electric socket / socket,elektriese sok,sokhethe ya muḓagasi,sokete / sokete ya gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_745,electric spark,elektriese vonk,ṱhase ya muḓagasi,nhlanhla ra gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_746,electric stove,elektriese stoof,tshiṱofu tsha muḓagasi,xitofu xa gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_747,electric wire,elektriese draad,ḓataṱa ya muḓagasi / wairi ya muḓagasi,ntambhu ya gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_748,electrocution,doodskok / elektrokusie,vhulawa nga muḓagasi,rifu ra gezi / rifu hi gezi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_749,electrolysis,elektrolise,eḽekṱroḽaisisi,elekitirolisisi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_750,electrolyte,elektroliet,eḽekṱhroḽaithi,elekitirolayiti,,,,,,,,
