id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_ict_dictionary_66,local area network / LAN,plaaslike netwerk / LAN,uhleloxhumano lomkhawulo wendawo,uthungelwano lwengingqi / isitishi samaza othungelwano sengingqi,luhlelochumano lwendzawo / i-LAN,ithungelelwanothintano lendawo / i-LAN,kgokaganoselegae,kgokagano ya selegae / netweke ya selegae,marangrang a lehae / ML,vhuṱumanyihapo / fhethu ha vhuṱumanyi / LAN,LENE / vuhlanganisi bya tikhomphyuta ta ndhawu / vuhlanganisi bya tikhomphyutara ta ndhawu,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_67,log off / log out,afteken / uitteken,ukuphuma / ukucisha,ukuphuma,phuma,loga,tswaya,go tšwa kgokaganong / go tšwa netwekeng,tima / tswa,bva / u bva,huma,,,,,,kusiqoqelalwazi,,,,,,,,,,ya khomphyutha / ya khomphyutha,,,,,,eka khomphyuta
dsac_multilingual_ict_dictionary_68,mail,pos,iposi,iposi,tfumela / posa,iposo,poso,poso,poso,poswo,poso,noun,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_69,mail,pos,-posa / -thumela,ukuposa,posa,posa,-posa,posa / romela,posa,poswo,posa / rhumela,verb,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_70,money order,poswissel,isimelelamali saseposini,iphepha lemali yocingo,simelelimali seposini,iposimali,pampiritšhelete,taolotefelo ya tšhelete posong / maniotara / maniodara,pampiritjhelete,malindaedzwa,cheke ya poso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_71,multimedia,multimedia,ingxubexhumano,unxazonke,tisabalalisilwati letinhlobonhlobo,iimbikimvango,tlhaeletsanophata,phatlalatšontši ya tshedimošo,kgobokano ya dikgokahano,khashonnzhi / nyanḓadzamafhungo ṱhanganelo,swihangalasa-mahungunyingi,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_72,network,netwerk,uhleloxhumano,uthungelwano / uqhagamshelwano / unxibelelwano,luhlelochumano,ithungelelwano,kgokagano,netweke,marangrang,nethiweke / vhuṱumanyi,netiweke,noun,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_73,number portability,nommeroordraagbaarheid,inombolo engunkampanizonke,umahamba nayo wenombolo,nombolotfwaleka,uvulazoke,nomorotiriswagotlhe,tšhomišogohle ya nomorofounotee,nomoro ya letshwitshwitha,nomborondanganyisedzo / nomborokhwalwa,nkhulukelano-nomboro,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_74,online,gekoppel / aanlyn,ukusebenza ngokohleloxhumano,eqhagamshelekileyo,-phuma / -ngena,-nethungelelwano,-golagantsweng,kgokaganego / netwekeng,e hoketsweng,-ṱumeaho,ku nghena eka netiweke,adjective,,,,,,,,,,,,,ka khomphiutha,,,,,,,,
dsac_multilingual_ict_dictionary_75,open source software,oopbronprogrammatuur / oopbronsagteware,uhlelo lokusebenza oluguqukayo / uhlelo oluvulelekile,iprogram yekhompyutha esebenziseka lula,luhlelokusebenta lolutfolakala lula,ingaphakathimtjhiningqondo elivulekileko,karolofefo ya sesolo,lenaneotirišwa la khomphyutha le le fetšwago / lenaneotirišwa la khomphiutha le le fetšwago,dinolo tse ka fetolwang,tshiko tsha softhiwee i swikeleaho,sofuwere ya mahala,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_76,pay TV / pay channel,betaalkanaal,isiteshi esikhokhelwayo sikamabonakude,ijelo leTV elihlawulelwayo,umgudvu wamabonekudzeni lokhokhelwako / mabonekudzeni lokhokhelwako,irhatjhelombadelo likamabonwakude / umabonwakude obhadalelwako,kanaletuelelwa / tšhaneletuelelwa,tirelokgašo ya thelebišene ya go lefelwa / ditšhanele tša thelebišene tša go lefelwa,kanale e lefellwang,tshiṱitshimbadelwa / tshanele i badelwaho / tshanele i lifhwaho,chanele yo hakeleriwa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_77,peripheral device / peripheral,randapparatuur / randapparaat,isengezo seziqoqelalwazi,isiqhoboshelo sekhompyutha esinganyanzelekanga / isiqhoboshelo sekhompyutha esisenokungabikho,silungelelo,isisetjenziswa sangeqadi / isisetjenziswa esingezelelako,segokelelwa,setlabakelo sa tlaleletšo sa khomphyutha / tirelo ya go se be bohlokwa / setlabakelo sa tlaleletšo sa khomphiutha / pheriferale,sekgomathiswa,tshiṱuṅwa,xitlhomelo,,,,,,,,,,,,,,,,,,,,,,xa khomphyuta
dsac_multilingual_ict_dictionary_78,philatelist,posseëlversamelaar / seëlversamelaar / filatelis,umncwaningizitembu,umqokeleli-zitampu,sotitembu,usontembu,raditempe / maditempe,mokgobokanyimoithuti wa ditempe / filatheliste,raditempe,mugudazwiṱemmbe / mukuvhanganyi wa zwiṱemmbe,mutokota-switempe,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_79,philately,versamel van posseëls / filatelie,ucwaningozitembu,ukuqokelela izitampu,lucwaningotitembu,ibuthelelofundo ngeentembu,boithutatempe,kgoboketšo le thuto ka ditempe / filatheli,boithuti ba ditempe,vhugudazwiṱemmbe / vhukuvhanganyi ha zwiṱemmbe,vutokota-switempe,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_80,portal,poort,intuba yolwazi,isango-salathisi,iphothali,isizasithungelelanisi,botseno,setshatšhupadingwe inthaneteng,kgoro,phothaḽa / tshilangavhuṱumanyi,xihlovo xa tiwebusayiti,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_81,postage,posgeld,imali yokuposa,imali yokuposa,inkhokheloposi,imali yokuposa,tueleloposo,tefelo ya go posa,tjhelete ya ho posa / tefello ya poso,mbadelatshiposwa / tshelede ya poswo / mali ya poswo,xihakelela-poso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_82,postage stamp,posseël,isitembu sokuposa,isitampu sokuposa,sitembu sekuposa,isitembu sokuposa,setempe,tefelo ya go posa,setempe sa ho posa,tshiṱemmbe tsha u posa,xitempe xo posa,,,,,,,,,,,,,,sa poso,,,,,,,,
dsac_multilingual_ict_dictionary_83,postal code,poskode,inombolonkomba yeposi / ikhodi leposi,ikhowudi yeposi,liposikhodi,ikhodi yokuposa,khoutu ya poso,khoute ya poso,khoutu ya poso,khoudu ya poswo,khodi ya poso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_84,postal order,posorder,isimelamali,iposi-oda,liposi-oda,isijamelimali seposo,pampiritšhelete / posootoro,taelotefeloposwa / phoustalotara,pampiritjhelete ya poso,positaḽaoda / tshirumali,cheke ya poso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_85,Postbank,Postbank,ibhange laseposini,ibhanki yeposi,libhange laseposini / liposibhange,ibulungelo / ibhanga,posopolokelo,Panka ya poso,banka ya poso,bannga ya poswoni,Bangi ya poso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_86,postcard,poskaart,incwadibuhlumpu / iposikhadi,iposi-khadi,liposikhadi,iposikarada,posokarata,poskarata,poskarete,posikaraṱa,posikarata,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_87,post office,poskantoor,ezamaposi / eposini,eposini,temaposi / eposini,umnyango weposo / umnyango weposi / iposi / iposo,lefaphaposo / ntloposo / poso,lefapha la tša poso / poso,botsamaisi ba poso / posong,poswoni / muhasho wa poswo / poswo,hofisi ya poso / eposweni,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_88,printer,drukker,isikhiphambhalo sesiqoqelalwazi / iphrinta,isishicileli / iprinta,iphrinta,isikhafulimtlolo / isikhuphimtlolo,segatisi,segatiši / printhara / printha,sehatisi,phrinthara,pirintara,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_89,programming,programmering / programopstelling,ukwakha uhlelo / ukwenza uhlelo / ukuhlela,uyilo lweeprogram zekhompyutha / ulungelelwaniso lweenkqubo zosasazo / ukhetho-nkqubo zosasazo,kwakha tinhlelo / kuhlela,ukwakha amahlelo / ukunanekisa amahlelo,tlhamomananeo / thulaganyonaneo,tlhamo ya mananeotirišo a khomphyutha / peakanyo ya mananeo / go phrokrema / go prokrema,bongodi / tlhophiso ya mananeo,u phrogirema,mbumba-nongonoko / vuxaxameti,,,,,,,,,,,,,,khomphiutha,,,,,,,,
dsac_multilingual_ict_dictionary_90,public broadcasting service,openbare uitsaaidiens,isiteshi sokusakaza somphakathi,inkonzo yosasazo yoluntu jikelele,umsakato wemmango / umsakato wesive,zokurhatjhela isitjhaba,tirelokgaso ya setšhaba,tirelokgašo ya setšhaba,tshebeletsokgaso ya setjhaba,tshumelo ya khasho ya tshitshavha,vuhaxi bya mfumo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_91,radio / wireless,radio,umsakazo / iwayilense / umbhoshongo,unxibelelwano ngomoya / unxibelelwano ngamaz’omoya / unomathotholo / iwaylesi / irediyo,sisakati / umsakato,ukurhatjha / umrhatjho / iwayilesi / isirhatjhi,tlhaeletso ka radio / radio / waelese / seyalemowa / seromamowa / setlhaeletsanokhubu,kgašokamogelo ya maphoto / seyalemoya / radio / waelese / wokithoki / radioseboledišani,selaolamaqhubu / seyalemoya / radiyo,radio / waiḽese,rhadiyo / wayilese / xiyanimoya,noun,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_92,real time,intyds / reëletyd,ngaleso sikhathi,ngoko nangoko,ngaleso sikhatsi,kwesikhathimbala,nakotiragalo / tiragatsosemetsing,ya nako yeo,nako ya nnete,tshifhinga tshenetsho,xitshama-xilunghekile,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_93,reboot,herlaai,-qalisa kabusha,ukuqalela / ukuqalela kwakhona / ukuphinda uyilayite,cala kabusha,thomisaphasi,tsosolosa,thomološa tšhomišo ya khomphyutha / thomološa tšhomišo ya khompiyutha,ho bula hape,funga hafhu,sungulanakambe,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_94,satellite,satelliet,isiphakalwazimkhathi / isathelathi,isiphekepheke sonxibelelwano,sijikeletamkhatsi / isathelayithi,isathelayithi,sathalaete / sesupatshwantsho / setlhagisatshwantsho,sathalaete,sathalaete,satheḽaithi / dishi ya satheḽaithi,sathelayiti,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_95,satellite dish / dish,satellietskottel / skottel,indishi yesiphakalwazimkhathi / indishi yesathelathi,idishi,indishi,isamukelimaza / isibambimaza,setlhagisatshwantsho / sejana sa sathalaete / sekotlolo,sekotlelo sa sathalaete / diši ya sathalaete,sekotlolo sa sathalaete,dishi ya satheḽaithi / satheḽaithi dishi / dishi,xidikizelo xa sathelayiti,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_96,sender,afsender,umthumeli,umthumeli / umntu oposayo,umtfumeli,umthumeliposo,moromedi,moromedi,moromedi,mumurumeli,murhumeri,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_97,server,bediener,inhlokosiqoqelalwazi yohleloxhumano / iseva,ikhompyutha engundoqo wothungelwano / iseva,ingunguluchumano / iseva,isithwalithungelelwano / iseva,sefara / khomphiuthatheo,sebara / sevara / sekgokaganyadikhomphyutha / sekgokaganyadikhomphiutha,sefepedi,seva,xiphamela-tikhomphyuta,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_98,signal,sein,isizwambiko,umqondiso wonxibelelwano,isiginali,isizwambiko,setsibosi,temoši,leqhubu,signaḽa,mpfumawulo,noun,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_99,signal distribution,seindistribusie,ukusakazwa kwesizwambiko,uhambiso lomqondiso wonxibelelwano,sisabalalisi sesiginali,ukukhanjiswa kwesizwambiko,phetisatsibosi,phatlalatšo ya temoši,kabo ya maqhubu,phaḓaladzo ya signaḽa,vuhangalasa-mpfumawulo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_100,smart card,slimkaart / knapkaart,ikhadimininingwane,ikhadi lonaniselwano,simathikhadi / likhadimahlakaniphane,ikaradamininingwana,sehunolameraba / karatakgwebisano,karataselotatshedimošo / smatekhate,semate khate,garaṱa ya simathi / simathikhadi,khadi / karata,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_101,SMS / short messaging service / short message service,SMS / kortboodskapdiens,uhlelombiko olufinyeziwe / i-sms,imbalelwano ngeselula / imbalelwano ngomafumaneka naphi / imbalelwano ngomathunyw’asabele / imbalelwano ngeselfowuni / iSMS,i-SMS,umlayezorhunyezo / i-SMS,tirelo ya melaetsakhutshwe / SMS,tirelo ya melaetšakopana,tshebeletso ya molaetsa o mokgutshwanyane / sms / tswibila,tshumelo ya mulaedza mupfufhi / SMS,SMS,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_102,software,programme / programmatuur / sagteware,uhlelokusebenza lwesiqoqelalwazi / isofthiwe,iiprogram zekhompyutha,luhlelokusebenta,ingaphakathimtjhiningqondo,didiriswanolo / dikarolofefo,mananeotirišo a khomphyutha / mananeotirišo a khomphiutha,dinolo,softhiwee,sofutiwere,,,,,,,,,,,,,,khomphiutha,,,,,,,,
dsac_multilingual_ict_dictionary_103,sound card,klankkaart,ikhadimsindo lesiqoqelalwazi,ikhadi lesandi,likhadimsindvo,ikaradamdumo,karatasedumisi,karatamodumo ya khomphyuthara / karatamodumo ya khomphiuthara / saontekhate,karete ya medumo,garaṱa ya mubvumo,khadi ra mpfumawulo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_104,stakeholder,belanghebbende,obambiqhaza,umntu onomdla ochaphazelekayo / iqela elinomdla elichaphazelekayo,umhlanganyeli / bahlanganyeli / umbambichaza,umhlanganyeli,moamegi / monnaleseabe,moamegi,mothahaselli,mushelamulenzhe,mukhumbeki,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_105,tariff,tarief,inkokhelo emisiwe,imali ehlawulelwa inkonzo / irhafu yenkonzo,linani lelibekiwe,imbadelo ebekiweko,kelotefo,tefelotirelo / tharifi,tharifi / tefello,mbadelotiwa / ndifhotiwa,hakelo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_106,technology,tegnologie,ubuchwepheshe,ubuchwepheshe / iteknoloji,buchwepheshe / ithekhinoloji,ithekhinoloji,thekenoloji,theknolotši,theknoloji,thekhnoḽodzhi,thekinoloji,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_107,telecommunications,telekommunikasiewese,ezokuxhumana ngezingcingo,unxibelelwano ngefowuni / unxibelelwano ngemfonomfono / unxibelelwano ngomnxeba,tekuchumanisana,ithintaniswanoliqha,tlhaeletsanokgakala,dikgokaganokgole / thelekhomiunikheišene / thelekhomyunikheišene,dikgokahano tsa mehala,vhudavhidzanikule / vhudavhidzani ha kule,vutihlanganisi,,,,,,,,,,,,,,,,,,,,,,hi swihlanganiswa
dsac_multilingual_ict_dictionary_108,telemedicine,telemedisyne,ukwelapha ngobuchwepheshe bezokuxhumana,unxibelelwano kwezonyango,luchumanokwelapha,ukwelapha ngethintaniswanoliqha,kalafitlhaeletsano,kgokaganyokalafikgole / thelemedisene,kalafo ka mohala,dzilafho nga vhudavhidzani,vutshunguri hi swa vutihlanganisi,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_109,television / TV,televisie / TV,isiteshi sikamabonakude,umabonakude,mabonakhashane / mabonekudzeni / ithelevishini,irherhomabonwakude,tlhagisotshwantsho,thelebišene / thelevišese,thelevishene / TV,theḽevishini / TV,thelevhixini / TV,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_110,television / television set / TV set / television,televisie / TV / televisiestel / TV-stel,umabonakude,umabonakude,mabonakhashane / mabonekudzeni / ithelevishini / i-TV,ithelevitjhini / umabonwakude,thelebišene,thelebišene / thelevišene,thelevishene,sethe ya theḽevishini,thelevhixini,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_111,television licence / TV licence,televisielisensie / TV-lisensie,ilayisense kamabonakude,ilayisenisi kamabonakude / iphepha-mvume likamabonakude / ilaysensi kamabonakude,ilayisensi yethelevishini,ilayisensi yethelevitjhini / ilayisensi kamabonwakude,tshupatetla ya thelebišene / laesense ya thelebišene,laesense ya thelebišene / laesense ya thelevišene / laesentshe ya thelebišene / laesentshe ya thelevišene,laesense ya thelevishene,ḽaisentsi ya theḽevishini,layisense ya thelevhixini,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_112,transmit,send,ukusakaza,ukuthumela / ukugqithisa / ukuhambisa / ukudlulisa,sabalalisa,rhatjha,gasa,gaša / romela / phatlalatša,hasa,rathisa,haxa / fambisa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_113,troubleshooting,foutopsporing / foutsporing,ukuthungatha inkinga,ukuphanda inkathazo / ukufumanisa ingxaki / ukukhangela ingxaki,kutfungatsa inkinga,ukuzunywa bulungiswa kwemitjhapho,tshekatshekotshiamiso,go nyakišiša le go phošolla,ditokiso,vhulugisi,ndzulamiso-xitironiki,,,,,,kusiqoqelilwazi,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_114,video,video,ukuqoshwa kwesithombe sevidiyo,isishicileli-miboniso,ividiyo,ividiyo,kgatisotshwantsho,kgatišo ya medumo le ditshwantšho,vidiyo,u dzhia vidio,vhidiyo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_115,video cassette recorder / VCR / video recorder / video cassette player / video,videomasjien,isiqophamakhasethi sevidiyo,umatshini wevidiyo,sidlali makhasethi e-vidiyo / sidlali ma-VCR / umshini wevidiyo / i-VCR,isibonisisidlalisimdumo / i-VCR / isigadangisi sevidiyokhasede,kgatisatshwantsho / setshwantshikgatisi,seralokakhasete ya bidio / seralokakhasete ya vidio / sebapalakhasete ya vidio / seralokakhasete ya vidio / segatišadikhasete tša vidio,motjhini wa vidiyo,VCR / tshirekhodavidio / tshitambavidio,muchini wa vhidiyo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_116,video tape / video cassette,videoband / videokasset,ikhasethi yevidiyo,itheyipu yomboniso / ikhasethi yevidiyo / ividiyo,ithephu yevidiyo,ividiyokhasede,bideo theipi / theipi ya setshwantshikgatisi,khasete ya bidio / khasete ya bitio / khasete ya vidio,vidiyokhasete,theiphi ya vidio,khasete ya vhidiyo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_117,virtual,virtueel,isingamfanekiso sesiqoqelalwazi,eqikelelwayo / ecingelwayo / ethekelelwayo,ngebuchwepheshemungcwi,-sabukhona,setshwantshokgopolo,sekaphelohlangwa ke khomphyutha / sekaphelohlangwa ke khomphiutha,sekannete / sethetsa,tshiedziswa tsha kholekhole,xipfampfarhutwa,,,,,,,,,,,,,,,,,,,,,,hi khomphyuta
dsac_multilingual_ict_dictionary_118,webmaster,webmeester / werfmeester,umlawuli wesizindalwazi,ingcali kulawulo lweintanethi,umlawuliwebhu,usowebhusayidi / usobunzinzolwazi,mosefaramogolo,molaodi wa sefepikgokanyi inthaneteng / wepmastara,molaodi wa inthanete,rawebe,n’wa-webusayiti,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_119,web page,webblad,ikhasi lesizindalwazi,iphepha elikwi-intanethi,likhasiwebhu,ikhasi lobunzinzolwazi / ikhasi lewebhusayidi,tsebe ya inthanete,letlakala la inthanete / webpheitši / weppheitši,leqephe la inthanete,siaṱari ḽa webe,pheji ra webusayiti,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_120,website,webwerf / webruimte / webtuiste,isizindalwazi,iwebhusayithi / isiza solwazi / isiza seintanethi,iwebhusayithi,ubunzinzolwazi / iwebhusayidi,setsha sa inthanete / webesaete,setsha sa inthanete / websaete / wepsaete,setsha sa inthanete,websaithi,webusayiti,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_121,wide area network / WAN,wyeareanetwerk / WAN,uhleloxhumano olusabalele / uhleloxhumano olumgamubanzi,isitishi samaza selizwe lonke,luhlelochumano lolumgamubanti / i-WAN,ithungelelwanothintano elibanzi / i-WAN,kgokaganokatologano,kgokagano ye e nabilego / netweke ye e nabilego,marangrang a phatlalletseng,WAN / vhuṱumanyi ha mupo ho ṱanḓavhuwaho,WENE / vuhlanganisi bya tikhomphyuta hi ku anama / ntirhisano wa tikhomphyuta hi ku anama,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_122,wireless,draadloos,ukuxhumana okungenantambo,unxibelelwano kungasetyenziswa zintambo / unxibelelwano olungenazintambo / unxibelelwano olungenazingcingo,iwayilesi,ukurhatjha ngezizwambiko,tlhaeletsanokhubu / tlhaeletsano ka radio,kgašo ya maphoto / kgašo ya ntle le metato,mhlokathapo,khasho nga radio / waiḽese / radio,wayilese,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_123,wireless application protocol / WAP,draadloseapplikasie-protokol / WAP,uhlelokusebenza lwezokuxhumana olungenantambo,iprogram yekhompyutha engasebenzisi zingcingo zonxibelelwano / iprogram yekhompyutha engasebenzisi zintambo zonxibelelwano,i-WAP / luhlelokusebentisa lwetekuchumana / luhlelonchubo lwekusebenta kwewayilesi,i-WAP / ikghonakalisothintwano eline-inthanethi,thulaganotlhaeletsanokhubu,lenaneotirišo la kgokagano ntle le metato,metlaetutswe e se nang thapo,WAP / zwishumiswa zwoṱhe zwa waiḽese,WEPE,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_ict_dictionary_124,World Wide Web / WWW,Wêreldwye Web / WWW / wêreldwye web / www,isizindalwazi sokuxhumana somhlaba jikelele,uthungelwano lwehlabathi kwi-intanethi / i-WWW,i-WWW,iWebhusayidi yePhasi Zombelele / ubuNzinzolwazi bePhasi Zombelele,inthanete ya lefatshe ka bophara,kgokagano ya lefaselohle inthaneteng,marangrang a phatlalletseng / www,webe yo ṱanganyaho shango,www / Webe ya Misava Angarhelo,,,,,,,,,,,,,,,,,,,,,,
