id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_life_orientation_terminology_term_list_15,adult,volwassene,umuntu omdala / umdala,umntu omdala,umuntfu lomdzala,umuntu omkhulu,mogolo,mogolo,moholo,mualuwa,lonkulu,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_16,adulthood,volwassenheid,ubudala,ubudala,budzala,ubukhulu,bogolo,bogolo,boholo,vhualuwa,vukulu,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_17,adventure,avontuur / ondervinding / belewenis,umdlalo onobungozi,udelo-ngozi / imfuna-mava,kutimbandzakanya esigigabeni lesingaba yingoti / kwenta intfo longakaze uyente / kutimbandzakanya esigigabeni lesingaba yingoti,igabazo / isenzo esiyingozi,tekelelo,bolekadigale,ho lekaleka,vhuḓifungi,rivonavona,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_18,advertise,adverteer / reklame maak,ukukhangisa,-azisa / bhengeza / papasha,khangisa,-khangisa / -bukisa / -qalisa,phasalatša / bapatsa,-kwalakwatša,-bapatsa,kungedzela,navetisa,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_19,advice,raad / advies,iseluleko,icebiso / icebo / ingcebiso,seluleko,iseluleko / isiyeleliso / isilemukiso,kgakololo,keletšo,keletso,ngeletshedzo,xitsundzuxo / xilemukiso,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_20,affect,raak / affekteer / inwerk op / beïnvloed,ukuthinta,chaphazela / phembelela,tsintsa,-thinta / -qaphazela,tlhotlheletsa / ama,-huetša,-ama,kwama,vangela / kucetela,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_21,African,Afrikaan,um-Afrika,umAfrika,Umafrika,umuNtu / Um-Afrika,Moaforika,MoAfrika,moAfrika,Muafrika,Muafrika,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_22,age,ouderdom / leeftyd,ubudala,ubudala,iminyaka / budzala,ubudala / ubukhulu ngeminyaka,dingwaga / bogolo,mengwaga,dilemo,vhukale / miṅwaha,vukhale,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_23,aggression,aggressie,ubudlova,udlakathiso / ugonyamelo / ubudlova / iingcwangu / ubundlongodlongo,budlova / buhonga,ipehla / inturhu,kgakalo,boromolani,dikgoka,u sinyuwa,mbholovo,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_24,agricultural revolution,landbourevolusie / landbourewolusie,izinguquko kwezolimo,inguqu kwezolimo,ingucuko kutekulima,itjhuguluko kezokulima nokufuya,diphetogotemo,phetogokgolotemong,diphetoho bohwaing / diphetoho temong,tshanduko kha zwa vhulimivhufuwi,ncinco wa swa vurimi / ncinco wa swa vufuwi,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_25,aim,mik,ukukala,jolisa,cipha / kala / hlosa,-korola / -nqophisa,korola,-nepa,-korola / -tobisa,korola / livhisa,pakanisa / korola / kongomisa,verb,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_26,alcoholic,alkoholis,indlamanzi / ijikankezo / isidakwa,inxila / indlamanzi / ikhoboka lotywala,sidzakwa,isirhurhulelitjwala / ikghoba lotjwala,letagwa,letagwa,lehlena,tshidakwa,xidakwa,noun,,,,,,,,,,,,,,,,,,,,,
