id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_institutional_terminology_52,Barclays Africa Chair in Banking Law,Setulo sa Afrika sa Barclays ka Molao wa go Panka,Barclays Afrika-leerstoel in Bankreg,previously Absa Chair ...,,pele e be e le setulo sa Absa...,,voorheen Absa-leerstoel ...,
up_glossary_institutional_terminology_53,Bestmed members,Maloko a Bestmed,Bestmed-lede,UP,,UP,,UP,
up_glossary_institutional_terminology_54,BClinical Medical Practice degree programme,Lenaneo la tikrii ya BClinical Medical Practice,BKliniese Mediese Praktyk-graadprogram,,,,,,
up_glossary_institutional_terminology_55,beret,perete,baret,,,,,,
up_glossary_institutional_terminology_56,Bill of Student Rights,Molaokakanywa wa Ditokelo tsa Baithuti,Handves van Studenteregte,,,,,,
up_glossary_institutional_terminology_57,Bioanalytical Laboratory,Laporatori ya Payo-analethikhale,Bioanalitiese Laboratorium,,,,,,
up_glossary_institutional_terminology_58,block examination,Tlhahlobo ya ploko,blokeksamen,,,,,,
up_glossary_institutional_terminology_59,block student,moithuti wa ploko,blokstudent,,,,,,
up_glossary_institutional_terminology_60,bursary grant letter,lengwalo la pasari,beursbrief,,,,,,
up_glossary_institutional_terminology_61,Business Administration,Taolo ya Kgwebo,Bedryfsadministrasie,,,,,,
up_glossary_institutional_terminology_62,business attire,moaparo wa kgwebo,sakedrag,,,,,,
up_glossary_institutional_terminology_63,business breakfast,sefihlolo sa kgwebo,sakeontbyt,,,,,,
up_glossary_institutional_terminology_64,candidate for a doctorate - candidates for a doctorate,molekwa wa bongaka - balekwa ba bongaka,doktorandus - doktorandi,sing / pl,,botee / bontsi,,ekv / mv,
up_glossary_institutional_terminology_65,capita selecta,capita selecta,capita selecta,roman; not italics,,seroma; e sego moseka,,romeins; nie kursief,
up_glossary_institutional_terminology_66,Centre for Corporate Governance in Africa,Senthara ya Taolo ya Tlemagano ka Afrika,Sentrum vir Korporatiewe Bestuur in Afrika,US,,US,,US,
up_glossary_institutional_terminology_67,Centre for Microbial Ecology and Genomics,Senthara ya Ekoloti ya Maekropaele leDitsenomiki,Sentrum vir Mikrobiese Ekologie en Genomika,,,,,,
up_glossary_institutional_terminology_68,Certificate of Merit,Setifikeiti sa Bokgoni,Sertifikaat van Verdienste,,,,,,
up_glossary_institutional_terminology_69,Chancellor's Medal,Metale wa Mokhanseliri,Kanseliersmedalje,,,,,,
up_glossary_institutional_terminology_70,changes on credits,phetoso ya dikrediti,kredietveranderings,,,,,,
up_glossary_institutional_terminology_71,Charter,thalooboemo,manifes,,,,,,
up_glossary_institutional_terminology_72,class attendance,go ya diphaposing,klasbywoning,,,,,,
up_glossary_institutional_terminology_73,Client Service Centre,Senthara ya Ditirelo tsa Badirelwa,Klientedienssentrum,not: Services,,,,,
up_glossary_institutional_terminology_74,Cluster,sehlopha,groep,,,,,,
up_glossary_institutional_terminology_75,code of conduct,molao wa maitshwaro,gedragskode,,,,,,
up_glossary_institutional_terminology_76,commemorative medal,metale wa segopotso,gedenkmedalje,,,,,,
up_glossary_institutional_terminology_77,committee composition as per charter,tlhamo ya komiti go ya ka thalosoboemo,komiteesamestelling,,,,,,
up_glossary_institutional_terminology_78,compulsory subject,dithutwana tsa kgapeletso,verpligte vak,,,,,,
up_glossary_institutional_terminology_79,computer and information literacy,tsebotlhaka ya khomputha le tshedimoso,rekenaar- en inligtinggeletterdheid,,,,,,
up_glossary_institutional_terminology_80,Computer Literacy,Tsebotlhaka ya Khomphutha,Rekenaargeletterdheid,,,,,,
up_glossary_institutional_terminology_81,Computer-integrated Education,Thuto yeo e kopantswego ya Khomphutha,Rekenaargeintegreerde Onderwys,,,,,,
up_glossary_institutional_terminology_82,conditional exemption certificate,seteifikeiti sa tokollo sa peelano,voorwaardelike vrystellingsertifikaat,,,,,,
up_glossary_institutional_terminology_83,Constitution for Student Governance,Molaotheo wa Taolo ya Baithuti,Grondwet vir Studenteregering,CSG,,,,GSR,
up_glossary_institutional_terminology_84,Continued Educational Unit,Lekala la Thuto leo le tswelago pele,Voortgesette Opvoedkundige Eenheid,CEU,,,,VOE,
up_glossary_institutional_terminology_85,Continued Professional Development,Tweletsopele/Kaonafatso/Tlhabollo ya Bokgoni bjo bo Tswelago pele,Voortgesette Professionele Ontwikkeling,CPD,,,,VPO,
