id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_hatfield_campus_43,Kamma Kamma,Kamma Kamma,,Hatfield,Student Affairs,Hatfield,Studentesake,,Merero ya Baithuti
up_glossary_hatfield_campus_44,Kya Rosa,Kya Rosa,,Hatfield,Alumni Relations,Hatfield,Alumniverhoudinge,,"Dikamano tsa Baithuti ba
maloba"
up_glossary_hatfield_campus_45,Law,Regsgeleerdheid,,Hatfield,"Centre for Human Rights Law: Administration Legal History, Comparative Law and Philosophy of Law Mercantile Law Oliver R Tambo Law Library Private Law Procedural Law Public Law",Hatfield,"Sentrum vir Menseregte Regsgeleerdheid: Administrasie Regsgeskiedenis, Regsvergelyking en Regsfilosofie Handelsreg Oliver R Thambo-regsbiblioteek Privaatreg Prosesreg Publiekreg",,"Senthara ya Molao wa
Ditokelo tsa Batho: Taolo
Histori ya Molao, Molao wa
Papetão le Filosofi ya Molao
Molao wa Kgwebo
Bokgobapuku bja Molao bja
Oliver R Tambo
Molao wa Praebete
Molao wa Tshepedio
Molao wa Bohle"
up_glossary_hatfield_campus_46,Law Clinic,Regskliniek,,"House A, B,
C, D / Hatfield",Law Clinic,"Huis A, B,
C, D / Hatfield",Regskliniek,,Kliniki ya Molao
up_glossary_hatfield_campus_47,Lien and Bok Theatres,Lier- en Bokteaters,,Hatfield,Drama,Hatfield,Drama,,Terama/Tiragatio
up_glossary_hatfield_campus_48,Loeloeraai,Loeloeraai,,Hatfield,Student Affairs,Hatfield,Studentesake,,Merero ya Baithuti
up_glossary_hatfield_campus_49,Marketing Services,Bemarkingsdienste,,Hatfield,"Known as the ""Badkamer"" Building JuniorTukkie Community Engagement 'GW' Group Research Support UP Staff Association",Hatfield,"Bekend as die ""Badkamergebout JuniorTukkie Gemeenskaps-betrokkenheid GW-groep Navorsingsondersteuning UP-personeelvereniging",,"O tsebega bjalo ka Moago wa
Badkamer
JuniorTukkie
Go tsea karolo Setshabeng
Sehlopha sa 'GW'
Thekgo ya Dinyakisiso
Lekgotia/Mokgatlo la/wa
Badirisani ba UP"
up_glossary_hatfield_campus_50,Masker Theatre,Maskerteater,,Hatfield,Drama,Hatfield,Drama,,Terama/Tiragation
up_glossary_hatfield_campus_51,Mathematics,Wiskunde,,Hatfield,Insurance and Actuarial Science Mathematics and Applied Mathematics,Hatfield,Versekering en Aktuarièle Wetenskap Wiskunde en Toegepaste Wiskunde,,"Saense ya Insorense le
Akturaele
Mmetse le Mmetse wa Tiriso"
up_glossary_hatfield_campus_52,Meraai,Meraai,,Hatfield,Staff Houses,Hatfield,Personeelhuise,,Dintlo tsa Badirisani
up_glossary_hatfield_campus_53,Merensky 2 Library,Merensky 2-biblioteek,,Hatfield,Information Science Library Services,Hatfield,Inligtingkunde Biblioteekdienste,,"Saense ya Tshedimoo
Ditirelo tsa Bokgobapuku"
up_glossary_hatfield_campus_54,Microelectroni CS,Mikro-elektronika,,"Carl and
Emily Fuchs
Institute for
Microelectroni
cs / Hatfield","Electric, Electronic and Computer Engineering","Carl
en Emily Fuchs-
instituut vir Mikro-
elektronika / Hatfield","Elektriese, Elektroniese en Rekenaaringenieurswese",,"Boentsenere bja Khomphutha,
Mohlagase le Elektroniki"
up_glossary_hatfield_campus_55,Mineral Sciences,Mineraalwetenskappe,,Hatfield,Geology IMMRI  Materials Science and Metallurgical Engineering Mining Engineering,Hatfield,Geologie IMMRI Materiaalkunde en Metallurgiese Ingenieurswese Mynbou-ingenieurswese,,"Geologi
IMMRI 
Seanse ya
Dimateriale/didiriswa le
Boentsenere bja
Metaletsikhale
Boentsenere bja Meepo"
up_glossary_hatfield_campus_56,Monastery Hall,Kloostersaal,,Hatfield,Student Development,Hatfield,Studenteontwikkeling,,"Tsweletsopele/Kaonafatso/Tlh
abollo ya Baithuti"
up_glossary_hatfield_campus_57,Musaion and Amphitheatre,Musaion en Amfiteater,,Hatfield,Property Management: Theatres and Halls,Hatfield,Eiendomsbestuur: Teaters en Sale,,"Taolo ya Thoto: Ditheetha le
Diholo"
up_glossary_hatfield_campus_58,Musaion glass foyer,Musaion-glasfoyer,,Hatfield,,Hatfield,,,
up_glossary_hatfield_campus_59,Music,Musiek,,Hatfield,Music; Music Library,Hatfield,Musiek; Musiekbiblioteek,,"Mmino; Bokgobapuku bja
Mmino"
up_glossary_hatfield_campus_60,Natural Sciences 1,Natuurwetenskappe 1,,Hatfield,Chemistry Physics Physiology Toxicology Unit,Hatfield,Chemie Fisika Fisiologie Toksikologie-eenheid,,"Khemistri
Fisika
Fisioloti
Lekala la Thoksioloti"
