id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_general_terminology_223,University of Pretoria Jacaranda Childrens Choir,Khwaere ya Bana ya Jacaranda ya Yunibesithi ya Pretoria,Universiteit van Pretoria Jakaranda Kinderkoor,,,,,,
up_glossary_general_terminology_224,University of South Africa,Yunibesithi ya Afrika Borwa,Universiteit van Suid-Afrika,,,,,,
up_glossary_general_terminology_225,University of the Free State,Yunibesithi ya Free State,Universiteit van die Vrystaat,,,,,,
up_glossary_general_terminology_226,University of the Western Cape,Yunibesithi ya Western Cape,Universiteit van Wes-Kaapland,,,,,,
up_glossary_general_terminology_227,University of the Witwatersrand,Yunibesithi ya Witwatersrand,Universiteit van die Witwatersrand,,,,,,
up_glossary_general_terminology_228,University of Venda for Science and Technology,Yunibesithi ya Venda ya Saense le Theknoloti,Universiteit van Venda vir Wetenskap en Tegnologie,,,,,,
up_glossary_general_terminology_229,University of Zululand,Yunibesithi ya Zululand,Universiteit van Zoeloeland,,,,,,
up_glossary_general_terminology_230,UP International Students Day,Letsati la Baithuti la Ditshabatshaba la Up,UP Dag vir Internasionale Studente,,,,,,
up_glossary_general_terminology_231,UP Tuks 1,UP Tuks 1,UP-Tuks 1,,,,,,
up_glossary_general_terminology_232,Vaal University for Technology,Yunibesithi ya Theknoloti ya Vaal,Vaal Universiteit van Tegnologie,,,,,,
up_glossary_general_terminology_233,Varsity Athletics meet,Mohlakano wa Diatletiki tsa Yunibesithi,Varsity Atletiekreeks,,,,,,
up_glossary_general_terminology_234,Varsity Athletics Series,Mohlwaela wa Diatletiki tsa Yunibesithi,Varsity Atletiekbyeenkoms,,,,,,
up_glossary_general_terminology_235,Varsity Cup Competition,Phadiano ya Sebjana sa Yunibesithi,Varsitybeker-kompetisie,,,,,,
up_glossary_general_terminology_236,Varsity Sports Football,Dipapadi tsa Kgwele ya Maoto tsa Yunibesithi,Varsity Sports-sokker,not to be confused with Varsity Cup,,e se gakantshwe le Sebjana sa Yunibesithi,,nie verwar met Varsitybeker nie,
up_glossary_general_terminology_237,Venue,Lefelo,Lokaal/Plek,,,,,,
up_glossary_general_terminology_238,Walten Sisulu University,Yunibesithi ya Walter Sisulu,Walter Sisulu Universiteit,,,,,,
up_glossary_general_terminology_239,wellness champion,nkgwete ya go phela gabotse,welstandsvoorstaander,,,,,,
up_glossary_general_terminology_240,WiFi,WiFi,WiFi,,,,,,
up_glossary_general_terminology_241,Woolly Winter Blanket Appeal,Boipiletšo bja Mapai a 'Woolly Winter',"""Woolly Winter' -kombersinsameling",,,,,,
up_glossary_general_terminology_242,Workshop,Lefelo la go somela,Werksessie,,,,,,
up_glossary_general_terminology_243,workshop,tlhahlo,werksessie of slypskool,,,,,nie werkwinkel,
up_glossary_general_terminology_244,World Human Rights Moot Court Competition,Phadisano ya Kgorotsheko yeo e Akantswego ya Ditokelo tsa Batho ya Lefase,Wêreld Menseregte-skynhofkompetisie,,,,,,
up_glossary_general_terminology_245,World Organisation for Animal Health,Mokgatlo wa Lefase wa Maphelo a Diphoofolo,Wêreldorganisasie vir Dieregesondheid,OIE,,OIE,,OIE,
up_glossary_general_terminology_246,xenophobia,xenofobia/lehloyo la bafaladi,xenofobie,,,,,,
up_glossary_general_terminology_247,Yale Law School,Sekolo sa Molao sa Yale,Yale-regskool,,,,,,
up_glossary_general_terminology_248,Year-end function,Moletlo wa mafelelo a ngwaga,Jaareindfunksie,,,,,,
up_glossary_general_terminology_249,Zoological Society of Southern Africa,Lekgotla la Zooloti la Borwa bja Afrika,Dierkundevereniging van Suider-Afrika,,,,,,
