id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_general_terminology_136,memorial,digopotso/segopotis,betoogshoofde of hoofde van betoog,s / law,,,,,
up_glossary_general_terminology_137,microeconomic,mikro-ekonomi,mikro-ekonomies,,,,,,
up_glossary_general_terminology_138,mission,maikemisetso,missie,,,,,,
up_glossary_general_terminology_139,Moot Court Competition,Phadisano ya Kgorotsheko yeo e Akantswego,Skynhofkompetisie,,,,,,
up_glossary_general_terminology_140,mutatis mutandis,mutatis mutandis,mutatis mutandis,italics,,seithali,,romein,
up_glossary_general_terminology_141,National Anthem,Koa ya Setshaba,Volkslied of Landslied,,,,,nie Nasionale Lied,
up_glossary_general_terminology_142,National Benchmark Test,Diteko tsa Tekolo ya Setshaba,Nasionale Normtoets,NBT,,NBT,,NNT,
up_glossary_general_terminology_143,National Credit Act,Molao wa Dikoloto wa Setshaba,Nasionale Kredietwet,,,,,,
up_glossary_general_terminology_144,National Education Health and Allied Workers' Union,National Education Health and Allied Workers' Union,National Education Health and Allied Workers' Union,NEHAWU,,NEHAWU,,NEHAWU,
up_glossary_general_terminology_145,nature VS nurture,tlhago kgahlanong le tlhokomelo,aangeborene vs/teenoor aangeleerde,,,,,die / die,
up_glossary_general_terminology_146,Nelson Mandela University,Yunibesithi ya Nelson Mandela,Nelson Mandela Universiteit,NMU,,NMU,,NMU,
up_glossary_general_terminology_147,Norman Manley Law School,Sekolo sa Molao sa Norman Manley,Norman Manley-regskool,,,,,,
up_glossary_general_terminology_148,North-West,Leboa-Bodikela,Noordwes,the province,,profense,,die provinsie,
up_glossary_general_terminology_149,North-West University,Yunibesithi ya North-West,Noordwes-Universiteit,,,,,,
up_glossary_general_terminology_150,NSC,NSC,NSS,National Senior Certificate,,Setifikeiti sa Marematlou,,Nasionale Senior Sertifikaat,
up_glossary_general_terminology_151,officiating,go laola,diensdoende,,,,,nie: diensdoenende,
up_glossary_general_terminology_152,OIE: World Organisation for Animal Health,OIE: Mokgatlo wa Lefase wa Maphelo a Diphoofolo,OIE: Wêreldorganisasie vir Dieregesondheid,,,,,,
up_glossary_general_terminology_153,one-off,e tee ya,eenmalige,not: once-off,,e sego: ya ga tee,,,
up_glossary_general_terminology_154,Open Day,Letsatsi la Pulo,Opedag,,,,,,
up_glossary_general_terminology_155,open source content,diteng tsa mothopo wa pulo,oopbroninhoud,,,,,,
up_glossary_general_terminology_156,Opening event,Moletlo wa pulo,Openingsnommen,programme,,lenaneo,,program,
up_glossary_general_terminology_157,parastatal,dipharastatale/pharastatale,semistaatsinstelling,s,,,,s,
up_glossary_general_terminology_158,PO Box,P O Box,Posbus,,,,,,
up_glossary_general_terminology_159,policy-maker,modiradipholisi,beleidvormen,,,,,,
up_glossary_general_terminology_160,policy-making,go dira dipholisi,beleidvorming,,,,,,
up_glossary_general_terminology_161,pop-up restaurant,restorante ya nakwana,opskietrestaurant,,,,,,
up_glossary_general_terminology_162,post-apartheid,ka morago ga kgethologanyo,postapartheid,,,,,,
up_glossary_general_terminology_163,praxis,praksisi,praktyk,,,,,,
up_glossary_general_terminology_164,prayer,thapelo,regsvordering,in law,,,,,
up_glossary_general_terminology_165,principal specialist,matwetwemogolo/setsebisegolo/mokgonimogolo,eerste spesialis,,,,,,
up_glossary_general_terminology_166,Private Bag/bag,Private Bag/bag,Privaatsak of privaat sak,,,,,ouer tekste,
up_glossary_general_terminology_167,process optimisation,tshepetso ya kaonafato,prosesintegrasie,,,,,,
up_glossary_general_terminology_168,professional councils,"makgotla a profesene/bokgoni, khansele ya profesene/bokgoni",beroepsrade,,,,,,
up_glossary_general_terminology_169,quality control,taolo ya boleng,gehaltebeheer,,,,,,
up_glossary_general_terminology_170,Quality Unit review,Lekala la tshekatsheko ya boleng,Kwaliteitseenheid-evaluasie,,,,,,
up_glossary_general_terminology_171,radiographer,radiokrafa,radiograaf,,,,,,
up_glossary_general_terminology_172,Rautenbach Hall,Holo ya Rautenbach,Rautenbachsaal,,,,,,
up_glossary_general_terminology_173,Reach for a Dream Foundation,Motheo wa Fihlelela Toro,Reik na 'n Droom-stigting,,,,,,
up_glossary_general_terminology_174,reaction engineering,boentsenere bja phetogo,reaksie-ingenieurswese,,,,,,
up_glossary_general_terminology_175,real-time,nako ya nnete,intyds,,,,,,
up_glossary_general_terminology_176,Res League,Liki ya Bodulo,Koshuisliga,,,,,,
